,Ciudad,lat,lon,sales,Percentile
0,acacias,41.667045,-91.541691,8,0.6524663677130045
1,acopi yumbo,3.4974589,-76.50835620000001,1,0.16367713004484305
2,aguachica,8.309745900000001,-73.61448709999998,37,0.8654708520179372
3,aguadas,5.6135737,-75.45751369999998,1,0.16367713004484305
4,agustn codazzi,10.037216099999998,-73.22841120000001,1,0.16367713004484305
5,amaga,6.0371130000000015,-75.702277,2,0.38789237668161436
6,andes,-21.1607667,-66.7752471,1,0.16367713004484305
7,anserma,5.242598,-75.78183100000001,1,0.16367713004484305
8,apartado,7.882760999999999,-76.62469200000001,9,0.672645739910314
9,arauca,6.547306,-71.0022311,46,0.8834080717488789
10,armenia,40.069099,45.038189,40,0.874439461883408
11,atlanta ga,33.7489954,-84.3879824,4,0.5695067264573991
12,b,37.0455042,-95.6292615,1,0.16367713004484305
13,baranoa br  de julio,40.4230426,-3.6983431,1,0.16367713004484305
14,baranquilla,11.004107199999998,-74.80698129999998,1,0.16367713004484305
15,barbosa,39.7792323,-94.7813071,10,0.6928251121076233
16,barrancabermeja,7.061708500000001,-73.8519319,83,0.9260089686098655
17,barranquilla,11.004107199999998,-74.80698129999998,538,0.9820627802690582
18,barrio gaitan,4.674757700000001,-74.0733387,1,0.16367713004484305
19,belen de umbria,5.2009029999999985,-75.869261,4,0.5695067264573991
20,bello,41.5693984,-90.5135494,28,0.827354260089686
21,beln de umbra,5.2009029999999985,-75.869261,1,0.16367713004484305
22,bog,42.351440000000004,-88.1884575,1,0.16367713004484305
23,bogot dc,4.7109885999999985,-74.072092,2,0.38789237668161436
24,bogota,4.7109885999999985,-74.072092,1415,0.9955156950672646
25,bosconia,9.970362,-73.89053100000001,16,0.742152466367713
26,bucaramanga,7.119349000000001,-73.1227416,843,0.9910313901345291
27,buenaventura,3.8830470999999998,-77.01972119999998,1,0.16367713004484305
28,buga,3.8946047999999993,-76.3055772,3,0.49551569506726456
29,bugalagrande,4.210851000000001,-76.155749,8,0.6524663677130045
30,cajica,4.918721700000001,-74.02255699999998,21,0.7825112107623319
31,calarca,4.5266936,-75.64095739999998,3,0.49551569506726456
32,calera,33.1028965,-86.7535975,1,0.16367713004484305
33,cali,3.4516467000000004,-76.53198540000001,489,0.9775784753363229
34,cali  ingenio,3.3834012,-76.5300365,1,0.16367713004484305
35,caliboviaencali,0.0,0.0,1,0.16367713004484305
36,caracas,10.480593699999998,-66.90360629999999,90,0.9372197309417041
37,cartagena,10.393227699999999,-75.4832311,216,0.968609865470852
38,cartago,9.8638091,-83.91619349999998,5,0.6053811659192825
39,caucasia,7.983182100000001,-75.1981665,17,0.7533632286995515
40,ceret,42.485952000000005,2.7488259999999998,1,0.16367713004484305
41,cerete,45.9309698,9.9192228,1,0.16367713004484305
42,cha,41.8770912,-87.62547159999998,10,0.6928251121076233
43,chaparral,34.089670899999994,-117.30069270000001,2,0.38789237668161436
44,chia,26.0490578,-80.1374065,1,0.16367713004484305
45,chigoroda,7.6645455,-76.67748449999998,11,0.7062780269058296
46,chigorodo,7.6645455,-76.67748449999998,3,0.49551569506726456
47,chinu,9.0226433,-75.294569,2,0.38789237668161436
48,chiquinquira,5.614775,-73.819571,9,0.672645739910314
49,chitag,41.8885198,-87.63544820000001,2,0.38789237668161436
50,choconta,5.144813999999998,-73.68466679999999,2,0.38789237668161436
51,cienaga,32.0634203,-109.0450595,17,0.7533632286995515
52,ciudad de panama,8.982379199999999,-79.51986959999998,4,0.5695067264573991
53,claretatalaya,0.0,0.0,1,0.16367713004484305
54,copacabana,-22.969441699999997,-43.186844799999996,2,0.38789237668161436
55,corozal,18.403080199999998,-88.3967536,1,0.16367713004484305
56,cota,39.860710100000006,-82.8258285,3,0.49551569506726456
57,coveas,0.0,0.0,1,0.16367713004484305
58,cucuta,7.889097099999999,-72.4966896,2154,1.0
59,cuenca,-2.9001285,-79.00589649999998,1,0.16367713004484305
60,cumbal,0.9073939,-77.79141070000001,6,0.6210762331838565
61,dosquebradas,4.831825599999999,-75.68056779999998,135,0.9551569506726457
62,duitama,5.8268951,-73.0329273,14,0.7286995515695067
63,el carmen de viboral,6.083056,-75.335278,3,0.49551569506726456
64,el paso,31.7618778,-106.48502169999999,2,0.38789237668161436
65,el santuario,26.0143858,-97.5310622,3,0.49551569506726456
66,el tarra,8.57451,-73.09339,1,0.16367713004484305
67,el zulia,7.937289,-72.604826,2,0.38789237668161436
68,envigado,6.167286499999999,-75.5836963,8,0.6524663677130045
69,facatativa,4.809984,-74.35400899999998,36,0.8587443946188341
70,florencia,43.769560399999996,11.2558136,20,0.773542600896861
71,florida,27.664827399999997,-81.5157535,1,0.16367713004484305
72,floridablanca,7.072056799999999,-73.10682270000001,4,0.5695067264573991
73,fonseca,10.886123,-72.85151499999998,13,0.7197309417040358
74,fortul,6.7943669999999985,-71.7715489,4,0.5695067264573991
75,fundacion,10.517178999999999,-74.1819979,15,0.7354260089686099
76,fusagasuga,4.345152,-74.361823,52,0.8923766816143498
77,gacheta,4.816972,-73.63630599999998,1,0.16367713004484305
78,galapa,10.8996383,-74.88618819999998,1,0.16367713004484305
79,galapa br villa olimpica,10.8996383,-74.88618819999998,1,0.16367713004484305
80,garzon,-34.593287,-54.543035700000004,6,0.6210762331838565
81,girardot,4.304595900000001,-74.80314140000002,39,0.8699551569506726
82,girardota,6.3774241,-75.44556620000002,1,0.16367713004484305
83,giron,40.70868529999999,-74.0115486,24,0.7982062780269058
84,granada,37.17733629999999,-3.5985571000000003,3,0.49551569506726456
85,guadalajara de buga,3.8946047999999993,-76.3055772,3,0.49551569506726456
86,guaduas,5.0678088,-74.5953205,1,0.16367713004484305
87,guarne,6.2825086,-75.44459719999998,11,0.7062780269058296
88,guayaquil,-2.1894127999999995,-79.8890662,1,0.16367713004484305
89,guayas,-1.9574839,-79.9192702,2,0.38789237668161436
90,ibague,4.4446759999999985,-75.24243799999998,77,0.9170403587443946
91,ipiales,0.8300200000000001,-77.6415554,25,0.8071748878923767
92,istmina,5.157448899999999,-76.68808990000001,1,0.16367713004484305
93,itagui,6.1681832000000005,-75.61903240000001,20,0.773542600896861
94,jamund,0.0,0.0,3,0.49551569506726456
95,jamundi,3.2617697,-76.5403266,2,0.38789237668161436
96,jerico,31.8611058,35.4617583,1,0.16367713004484305
97,juan de acosta,10.829092,-75.03585799999998,1,0.16367713004484305
98,la ceja,6.0298998,-75.4305712,3,0.49551569506726456
99,la dorada,25.8525733,-80.1199865,19,0.7668161434977578
100,la estrella,6.1511448999999985,-75.636623,2,0.38789237668161436
101,la fria,8.2143135,-72.2511833,1,0.16367713004484305
102,la gabarra,8.9973046,-72.90004470000001,1,0.16367713004484305
103,la guaira,10.602478699999999,-66.9313444,14,0.7286995515695067
104,la jagua de ibirico,9.5642946,-73.33589979999998,4,0.5695067264573991
105,la mesa,41.291525,-96.1614083,2,0.38789237668161436
106,la tebaida,4.453588,-75.79153000000001,9,0.672645739910314
107,la virginia,4.9019631,-75.88444020000001,1,0.16367713004484305
108,leticia,-4.2031649999999985,-69.935907,4,0.5695067264573991
109,lorica,43.647474,-79.396203,5,0.6053811659192825
110,los patios,39.690155,-86.2749786,56,0.905829596412556
111,madrid,40.4167754,-3.7037902000000003,1,0.16367713004484305
112,magangue,9.2414156,-74.7527587,16,0.742152466367713
113,maicao,11.380054300000001,-72.2422465,9,0.672645739910314
114,majagual,8.486527800000001,-74.7337069,1,0.16367713004484305
115,malambo,10.8575824,-74.7746834,2,0.38789237668161436
116,manizales,5.0629743,-75.5027698,100,0.9461883408071748
117,medellin,6.2476376,-75.56581530000003,445,0.9730941704035875
118,melgar,4.2035719999999985,-74.643383,7,0.6367713004484304
119,miami,25.7616798,-80.1917902,2,0.38789237668161436
120,mocoa,1.1477941,-76.64812839999998,3,0.49551569506726456
121,mompos,9.2396547,-74.4254445,2,0.38789237668161436
122,montelibano,7.976803,-75.417209,4,0.5695067264573991
123,monter,40.7570694,-73.70224759999999,1,0.16367713004484305
124,monteria,8.750983,-75.8785348,83,0.9260089686098655
125,mosquera,4.6802367,-74.22967129999998,2,0.38789237668161436
126,neiva,2.9344837000000004,-75.2809001,188,0.9641255605381166
127,nombre ciudad,0.0,0.0,21,0.7825112107623319
128,nueva loja,0.0851034,-76.89401559999999,1,0.16367713004484305
129,ocaña,8.252049999999999,-73.3532199,54,0.9013452914798207
130,paipa,5.77977,-73.11472499999998,6,0.6210762331838565
131,palmira,41.4192451,-87.4862363,34,0.8497757847533632
132,pamplona,42.812526,-1.6457745,32,0.8385650224215246
133,panama,8.537981,-80.782127,1,0.16367713004484305
134,pasto,40.043517,-86.1115207,77,0.9170403587443946
135,paz de ariporo,5.8806389999999995,-71.892912,3,0.49551569506726456
136,pereira,4.808717400000001,-75.690601,835,0.9865470852017937
137,pererira,4.808717400000001,-75.690601,1,0.16367713004484305
138,piedecuesta,6.9915389999999995,-73.05399799999998,9,0.672645739910314
139,pitalito,1.8563308999999997,-76.04616109999998,36,0.8587443946188341
140,planeta rica,8.412749,-75.584048,1,0.16367713004484305
141,plato,37.151017700000004,-95.7691943,3,0.49551569506726456
142,plato  magdalena,9.791337,-74.79752490000001,1,0.16367713004484305
143,popayan,2.4448142999999996,-76.6147395,53,0.8968609865470852
144,puerto berro,6.4895388,-74.4047587,1,0.16367713004484305
145,puerto carreo,6.1899117,-67.48256959999999,1,0.16367713004484305
146,puerto colombia,11.001004,-74.950761,1,0.16367713004484305
147,puerto lpez,-1.5539322,-80.80455680000001,4,0.5695067264573991
148,puerto tejada,3.22059,-76.415465,1,0.16367713004484305
149,puerto triunfo,5.872518800000001,-74.63988599999998,2,0.38789237668161436
150,purificacin,29.5919776,-98.6159064,1,0.16367713004484305
151,quetzaltenango,14.8446068,-91.52318659999999,4,0.5695067264573991
152,quibdo,5.695633,-76.649812,5,0.6053811659192825
153,quimchia,5.3411190999999985,-75.73047559999998,1,0.16367713004484305
154,quito,-0.1806532,-78.4678382,26,0.8116591928251121
155,quito sur,-0.1806532,-78.4678382,1,0.16367713004484305
156,republica de panama,8.537981,-80.782127,2,0.38789237668161436
157,riohacha,11.5384151,-72.91678379999998,34,0.8497757847533632
158,rionegro,6.149018799999999,-75.3789523,28,0.827354260089686
159,sabana de torres,7.391940400000001,-73.49985,7,0.6367713004484304
160,sabaneta,6.1504856,-75.61687859999998,12,0.7130044843049327
161,salazar,29.798657399999996,-95.3983082,2,0.38789237668161436
162,san alberto,7.763668400000001,-73.39321170000001,10,0.6928251121076233
163,san andres de tumaco,1.787434,-78.791265,8,0.6524663677130045
164,san antonio de prado,29.576824300000002,-98.6254193,1,0.16367713004484305
165,san cayetano,31.4798126,-110.9629287,2,0.38789237668161436
166,san cristobal,16.736992800000003,-92.6375988,30,0.8340807174887892
167,san diego,32.715738,-117.1610838,1,0.16367713004484305
168,san gil,6.554824000000001,-73.13412,47,0.8878923766816144
169,san jos del guaviare,2.5677606,-72.63965350000001,4,0.5695067264573991
170,san jose de costa rica,9.9280694,-84.09072459999999,1,0.16367713004484305
171,san juan,18.465539399999997,-66.1057355,1,0.16367713004484305
172,san pedro,33.7360619,-118.29224609999999,1,0.16367713004484305
173,san pedro garza garcia n,25.6573447,-100.40175009999999,1,0.16367713004484305
174,san salvador,13.692940300000002,-89.2181911,1,0.16367713004484305
175,san sebastian de bue,19.7252777,-99.60249990000001,3,0.49551569506726456
176,san sebastin de buenavis,9.238928900000001,-74.3500155,3,0.49551569506726456
177,sant rosa de cabal,4.870121,-75.62239,1,0.16367713004484305
178,santa ana,33.7454725,-117.867653,1,0.16367713004484305
179,santa cruz de la sierra,-17.8145819,-63.1560853,1,0.16367713004484305
180,santa marta,11.2403547,-74.2110227,75,0.9103139013452914
181,santa rosa de cabal,4.870121,-75.62239,6,0.6210762331838565
182,santa rosa de osos,6.6470033,-75.46044970000001,3,0.49551569506726456
183,santa rosa del sur,7.9630638,-74.05097479999998,2,0.38789237668161436
184,santander,32.782135499999995,-96.79814809999999,2,0.38789237668161436
185,santiago de tol,0.0,0.0,1,0.16367713004484305
186,santo domingo,18.4860575,-69.93121169999999,1,0.16367713004484305
187,saravena,6.9561069999999985,-71.87259499999998,24,0.7982062780269058
188,segovia,40.9429032,-4.1088068999999985,1,0.16367713004484305
189,sincelejo,9.3045773,-75.39055669999998,89,0.9327354260089686
190,soacha,4.5827227,-74.21174649999998,136,0.9596412556053812
191,sogamoso,5.7160848,-72.93112889999998,27,0.8183856502242153
192,soledad,36.424687,-121.32631869999999,7,0.6367713004484304
193,suan,26.1251452,-80.1367356,18,0.7623318385650224
194,sutamarchan,5.620003,-73.620936,2,0.38789237668161436
195,tame,0.0,0.0,27,0.8183856502242153
196,tausa,5.1961819999999985,-73.88654090000001,1,0.16367713004484305
197,tegucigalpa,14.065048999999998,-87.1715002,1,0.16367713004484305
198,tenjo,4.872476,-74.14576989999998,1,0.16367713004484305
199,tibu,8.642356,-72.73773299999998,2,0.38789237668161436
200,tierralta,8.171571,-76.062313,2,0.38789237668161436
201,tocaima,4.4585294,-74.6368449,3,0.49551569506726456
202,tocancipa,4.9659372999999984,-73.91305990000001,1,0.16367713004484305
203,tulu,43.492981,-70.452839,13,0.7197309417040358
204,tulua,4.089869,-76.19149909999999,3,0.49551569506726456
205,tumaco,1.787434,-78.791265,10,0.6928251121076233
206,tunja,5.5446422,-73.3575572,44,0.8789237668161435
