Fecha,ConsultaBusqueda,URLvisible,URLdestino,IDcliente,IDcampana,IDgrupoanuncios,IDcriterios,IDcreatividad,Recuentodepalabrasdelaconsulta,Impresiones,ClicsdeAd,Coste,CPM,CPC,CTR,Costeportransaccin,Costeporconversionobjetivo,Costeporconversion,RPC,Retornodeinversion(ROAS)
2018-01-05,ceramica italia,ceramicaitalia.com,https://www.ceramicaitalia.com/,7278701116,1471226289,58117890958,164595296,309840778920,2,0,0,0,0,0,,0,0,0,0,
2018-01-17,cermica italia,ceramicaitalia.com,https://www.ceramicaitalia.com,7278701116,1470922941,59879164994,171200482,293502322729,2,0,0,0,0,0,,0,0,0,0,
2018-01-29,ceramica italia cali sur,ceramicaitalia.com,https://www.ceramicaitalia.com,7278701116,1470942138,57276273096,478558852463,293470647780,4,0,0,0,0,0,,0,0,0,0,
2019-01-13,venta de ceramica,ceramicaitalia.com,https://www.ceramicaitalia.com,7278701116,1469538622,56420119905,171200482,293471266062,3,0,0,0,0,0,,0,0,0,0,
2019-01-25,cotizar pisos ceramica,ceramicaitalia.com,https://www.ceramicaitalia.com/,7278701116,1470922941,59879164994,171200482,309840778947,3,0,0,0,0,0,,0,0,0,0,
2019-01-05,baldosa para piso ceramica italia vulcano 51 x51,ceramicaitalia.com,https://www.ceramicaitalia.com,7278701116,1471178049,56718232733,332798492142,293503486513,8,0,0,0,0,0,,0,0,0,0,
2019-01-09,ceramica italia,ceramicaitalia.com,https://www.ceramicaitalia.com/,7278701116,1470922941,59879164994,164595296,309840778947,2,0,0,0,0,0,,0,0,0,0,
2019-01-09,cerámica italia,ceramicaitalia.com,https://www.ceramicaitalia.com,7278701116,1470922941,59879164994,164595296,344837790712,2,0,0,0,0,0,,0,0,0,0,
2019-01-18,ceramica italia,ceramicaitalia.com,https://www.ceramicaitalia.com/,7278701116,1471226289,58117890958,164595296,320247068298,2,0,0,0,0,0,,0,0,0,0,
2019-01-21,ceramica italia bogota calle 80,ceramicaitalia.com,https://www.ceramicaitalia.com/italcombos,7278701116,6681113493,82034616187,593574825590,387471245894,5,0,0,0,0,0,,0,0,0,0,
2019-01-20,corona comprar,ceramicaitalia.com,https://www.ceramicaitalia.com/,7278701116,8112205123,83833067997,120156900,397124625802,2,0,0,0,0,0,,0,0,0,0,
2019-01-29,ceramicas italia cucuta,ceramicaitalia.com,https://www.ceramicaitalia.com/blackf/index.php?render_type=sellerview&id_seller=15&fc=module&module=kbmarketplace&controller=sellerfront,7278701116,8281992195,86769356393,164595296,400138287547,3,0,0,0,0,0,,0,0,0,0,
2019-01-01,pagina ceramica italia,ceramicaitalia.com,https://www.ceramicaitalia.com/blackf/index.php?render_type=sellerview&id_seller=11&fc=module&module=kbmarketplace&controller=sellerfront,7278701116,8285733266,84030596143,164595296,400190760392,3,0,0,0,0,0,,0,0,0,0,
2019-01-01,ceramica italia,ceramicaitalia.com,https://www.ceramicaitalia.com/blackf/index.php?render_type=sellerview&id_seller=15&fc=module&module=kbmarketplace&controller=sellerfront,7278701116,8281992195,86769356393,164595296,400138287547,2,0,0,0,0,0,,0,0,0,0,
2019-01-14,ceramica italia,ceramicaitalia.com,http://www.ceramicaitalia.com,7278701116,8554347762,88030711593,332798492142,405879410853,2,0,0,0,0,0,,0,0,0,0,
2020-01-19,alfa pisos,ceramicaitalia.com,https://www.ceramicaitalia.com/diaespecial,7278701116,10338074538,101842646046,21251710,443244131465,2,0,0,0,0,0,,0,0,0,0,
2020-01-20,alfa pisos,ceramicaitalia.com,https://www.ceramicaitalia.com/diaespecial,7278701116,10338074538,101842646046,21251710,443244131465,2,0,0,0,0,0,,0,0,0,0,
2020-01-19,bidet,(not set),(not set),7278701116,10704396406,106650519518,296303633664,453146398733,1,0,0,0,0,0,,0,0,0,0,
2020-01-24,pisende,ceramicaitalia.com,https://www.ceramicaitalia.com/,7278701116,10706191806,105065412185,308476966462,453140177693,1,0,0,0,0,0,,0,0,0,0,
2020-01-27,ceramica italia bogota,ceramicaitalia.com,https://www.ceramicaitalia.com,7278701116,10707148490,105334535693,593574825590,453058188867,3,0,0,0,0,0,,0,0,0,0,
2020-01-28,ceramica italia,ceramicaitalia.com,https://www.ceramicaitalia.com,7278701116,10707148490,105334535693,164595296,453058188867,2,0,0,0,0,0,,0,0,0,0,
2020-01-30,decorceramica,ceramicaitalia.com,https://www.ceramicaitalia.com/,7278701116,10707164393,111024616052,300810373353,453093861757,1,0,0,0,0,0,,0,0,0,0,
2020-01-31,ceramica italia,ceramicaitalia.com,https://www.ceramicaitalia.com,7278701116,10707148490,105334535693,164595296,453058188867,2,0,0,0,0,0,,0,0,0,0,
