Fecha,Dominio del emplazamiento,Tipo de emplazamiento,URL del emplazamiento,Google Ads: grupo de anuncios,Google Ads: espacio publicitario,Anuncios de vídeo TrueView,Usuarios,Sesiones,Duración media de la sesión,Páginas/Sesión,Número de páginas vistas,Porcentaje de rebote
2020-01-15,mobileapp::2-com.notebloc.app,Automatic placements,mobileapp::2-com.notebloc.app,Italcombos Segmentacion Display,Google Display Network,No,3,3,0.0,1.0,3,1.0
2020-01-20,mobileapp::2-com.pixel.art.coloring.color.number,Automatic placements,mobileapp::2-com.pixel.art.coloring.color.number,Italcombos Segmentacion Display,Google Display Network,No,3,3,0.0,1.0,3,1.0
2020-01-27,mobileapp::2-com.ascella.paintbynumber,Automatic placements,mobileapp::2-com.ascella.paintbynumber,Italcombos Segmentacion Display,Google Display Network,No,3,3,0.0,1.0,3,1.0
2020-01-24,mobileapp::2-com.wordgame.puzzle.block.crush.es,Automatic placements,mobileapp::2-com.wordgame.puzzle.block.crush.es,Italcombos Segmentacion Display,Google Display Network,No,3,3,0.0,1.0,3,1.0
2020-01-23,mobileapp::2-com.bigstarkids.wordtravelspanish,Automatic placements,mobileapp::2-com.bigstarkids.wordtravelspanish,Italcombos Segmentacion Display,Google Display Network,No,3,3,0.0,1.0,3,1.0
2020-01-31,mobileapp::2-com.orange.coloring.learn.kids,Automatic placements,mobileapp::2-com.orange.coloring.learn.kids,Anuncios dinámicos Display,Google Display Network,No,3,3,0.0,1.0,3,1.0
2020-01-28,mobileapp::2-com.johnemulators.johngbalite,Automatic placements,mobileapp::2-com.johnemulators.johngbalite,Anuncios dinámicos Display,Google Display Network,No,3,3,0.0,1.0,3,1.0
2020-01-05,mobileapp::2-bubble.shoot.bubbles.game.saga.world,Automatic placements,mobileapp::2-bubble.shoot.bubbles.game.saga.world,Italcombos Segmentacion Display,Google Display Network,No,3,3,0.0,1.0,3,1.0
2020-01-13,mobileapp::10002-ca-mb-app-pub-6286023154905236,Automatic placements,mobileapp::10002-ca-mb-app-pub-6286023154905236,Italcombos Segmentacion Display,Google Display Network,No,3,3,0.0,1.0,3,1.0
2020-01-11,futbolete.com,Automatic placements,futbolete.com/futbol-colombiano/lo-mejor-de-joel-graterol-en-su-primer-partido-oficial-con-america/475272,Italcombos Segmentacion Display,Google Display Network,No,3,3,167.0,2.6666666666666665,8,0.0
2020-01-12,mobileapp::10002-ca-mb-app-pub-6286023154905236,Automatic placements,mobileapp::10002-ca-mb-app-pub-6286023154905236,Italcombos Segmentacion Display,Google Display Network,No,3,3,0.0,1.0,3,1.0
2020-01-13,mobileapp::2-com.wordscapes.word.cookies.puzzle.wordbrain.collect,Automatic placements,mobileapp::2-com.wordscapes.word.cookies.puzzle.wordbrain.collect,Italcombos Segmentacion Display,Google Display Network,No,3,5,4.8,1.6,8,0.6
2020-01-25,mobileapp::2-com.sweetfuirt.candy,Automatic placements,mobileapp::2-com.sweetfuirt.candy,Italcombos Segmentacion Display,Google Display Network,No,3,8,203.0,2.0,16,0.625
2020-01-06,mobileapp::2-bubble.game.shooter.bird.pop,Automatic placements,mobileapp::2-bubble.game.shooter.bird.pop,Italcombos Segmentacion Display,Google Display Network,No,3,3,0.0,1.0,3,1.0
2020-01-18,mobileapp::2-com.allenmm.archery,Automatic placements,mobileapp::2-com.allenmm.archery,Italcombos Segmentacion Display,Google Display Network,No,5,5,0.0,1.0,5,1.0
2020-01-30,mobileapp::2-best.word.connect.search.free.offline.puzzle.word.games.world,Automatic placements,mobileapp::2-best.word.connect.search.free.offline.puzzle.word.games.world,Italcombos Segmentacion Display,Google Display Network,No,3,3,0.0,1.0,3,1.0
2020-01-16,mobileapp::2-spinner.galaxy,Automatic placements,mobileapp::2-spinner.galaxy,Italcombos Segmentacion Display,Google Display Network,No,3,3,0.0,1.0,3,1.0
2020-01-10,mobileapp::2-bubble.shoot.bubbles.game.saga.world,Automatic placements,mobileapp::2-bubble.shoot.bubbles.game.saga.world,Italcombos Segmentacion Display,Google Display Network,No,3,11,0.2727272727272727,1.7272727272727273,19,0.7272727272727273
2020-01-13,mobileapp::2-com.billiards.city.pool.nation.club,Automatic placements,mobileapp::2-com.billiards.city.pool.nation.club,Italcombos Segmentacion Display,Google Display Network,No,5,5,0.0,1.0,5,1.0
2020-01-16,mobileapp::2-com.sky.funnyfruitsplash,Automatic placements,mobileapp::2-com.sky.funnyfruitsplash,Italcombos Segmentacion Display,Google Display Network,No,8,8,0.0,1.0,8,1.0
2020-01-19,mobileapp::2-solitaire.klondike.patience.spider.freecell.card.free.daily,Automatic placements,mobileapp::2-solitaire.klondike.patience.spider.freecell.card.free.daily,Italcombos Segmentacion Display,Google Display Network,No,3,3,0.0,1.0,3,1.0
2020-01-15,mobileapp::2-com.fugo.wow,Automatic placements,mobileapp::2-com.fugo.wow,Anuncios dinámicos Display,Google Display Network,No,3,5,162.6,3.2,16,0.0
2020-01-15,mobileapp::2-game.puzzle.blockpuzzle,Automatic placements,mobileapp::2-game.puzzle.blockpuzzle,Italcombos Segmentacion Display,Google Display Network,No,11,16,0.0,1.0,16,1.0
2020-01-22,mobileapp::2-com.guaiqin.puzzle.game,Automatic placements,mobileapp::2-com.guaiqin.puzzle.game,Anuncios dinámicos Display,Google Display Network,No,3,3,0.0,1.0,3,1.0
2020-01-14,mobileapp::2-com.lemongame.klondike.solitaire,Automatic placements,mobileapp::2-com.lemongame.klondike.solitaire,Italcombos Segmentacion Display,Google Display Network,No,132,170,10.56470588235294,1.1588235294117648,197,0.9529411764705882
2020-01-16,mobileapp::2-puzzle.blockpuzzle.cube.relax,Automatic placements,mobileapp::2-puzzle.blockpuzzle.cube.relax,Italcombos Segmentacion Display,Google Display Network,No,5,8,0.0,1.0,8,1.0
2020-01-13,mobileapp::1-1340841589,Automatic placements,mobileapp::1-1340841589,Italcombos Segmentacion Display,Google Display Network,No,3,3,0.0,1.0,3,1.0
2020-01-22,mobileapp::2-puzzle.wood.block.cube.music.box,Automatic placements,mobileapp::2-puzzle.wood.block.cube.music.box,Italcombos Segmentacion Display,Google Display Network,No,3,3,0.0,1.0,3,1.0
2020-01-17,mobileapp::2-com.no.color,Automatic placements,mobileapp::2-com.no.color,Italcombos Segmentacion Display,Google Display Network,No,3,3,0.0,1.0,3,1.0
2020-01-22,mobileapp::2-com.LoopGames.Solitaire,Automatic placements,mobileapp::2-com.LoopGames.Solitaire,Italcombos Segmentacion Display,Google Display Network,No,3,5,0.0,1.0,5,1.0
2020-01-13,mobileapp::2-com.highsecure.lockscreenpasscode,Automatic placements,mobileapp::2-com.highsecure.lockscreenpasscode,Italcombos Segmentacion Display,Google Display Network,No,3,3,0.0,1.0,3,1.0
2020-01-11,mobileapp::2-com.gjg.colorfill3d,Automatic placements,mobileapp::2-com.gjg.colorfill3d,Italcombos Segmentacion Display,Google Display Network,No,3,3,0.0,1.0,3,1.0
2020-01-15,mobileapp::2-com.appslitedesarrolladores.santabibliatla,Automatic placements,mobileapp::2-com.appslitedesarrolladores.santabibliatla,Italcombos Segmentacion Display,Google Display Network,No,3,3,0.0,1.0,3,1.0
2020-01-12,mobileapp::2-com.lyoomatch.jewelscrush.princessadventure,Automatic placements,mobileapp::2-com.lyoomatch.jewelscrush.princessadventure,Italcombos Segmentacion Display,Google Display Network,No,3,3,0.0,1.0,3,1.0
2020-01-13,mobileapp::2-com.blockpuzzle.jewel.diamond,Automatic placements,mobileapp::2-com.blockpuzzle.jewel.diamond,Italcombos Segmentacion Display,Google Display Network,No,3,3,0.0,1.0,3,1.0
2020-01-13,mobileapp::2-com.bruyere.android.solitaire,Automatic placements,mobileapp::2-com.bruyere.android.solitaire,Italcombos Segmentacion Display,Google Display Network,No,3,3,0.0,1.0,3,1.0
2020-01-20,mobileapp::2-com.cleanmaster.security,Automatic placements,mobileapp::2-com.cleanmaster.security,Display Bohemica,Google Display Network,No,3,3,466.0,1.6666666666666667,5,0.0
2020-01-18,mobileapp::2-com.digibites.calendar,Automatic placements,mobileapp::2-com.digibites.calendar,Italcombos Segmentacion Display,Google Display Network,No,3,3,0.0,1.0,3,1.0
2020-01-13,mobileapp::2-com.phonemaster.jewelhunter,Automatic placements,mobileapp::2-com.phonemaster.jewelhunter,Italcombos Segmentacion Display,Google Display Network,No,3,5,0.0,1.0,5,1.0
2020-01-10,mobileapp::2-com.mobileguru.fruitsbomb.free,Automatic placements,mobileapp::2-com.mobileguru.fruitsbomb.free,Italcombos Segmentacion Display,Google Display Network,No,3,3,0.0,1.0,3,1.0
2020-01-16,mobileapp::2-com.outfit7.mytalkingtomfriends,Automatic placements,mobileapp::2-com.outfit7.mytalkingtomfriends,Italcombos Segmentacion Display,Google Display Network,No,8,8,0.0,1.0,8,1.0
2020-01-04,mobileapp::2-com.slippy.linerusher,Automatic placements,mobileapp::2-com.slippy.linerusher,Anuncios dinámicos Display,Google Display Network,No,3,3,0.0,1.6666666666666667,5,0.0
2020-01-24,mobileapp::2-puzzle.blockpuzzle.cube.relax,Automatic placements,mobileapp::2-puzzle.blockpuzzle.cube.relax,Italcombos Segmentacion Display,Google Display Network,No,3,3,0.0,1.0,3,1.0
2020-01-25,mobileapp::2-com.pcoloring.art.puzzle.color.by.number,Automatic placements,mobileapp::2-com.pcoloring.art.puzzle.color.by.number,Italcombos Segmentacion Display,Google Display Network,No,3,3,0.0,1.0,3,1.0
2020-01-13,mobileapp::1-1407852246,Automatic placements,mobileapp::1-1407852246,Italcombos Segmentacion Display,Google Display Network,No,38,46,0.4130434782608696,1.108695652173913,51,0.8695652173913043
2020-01-14,mobileapp::2-com.ibragunduz.applockpro,Automatic placements,mobileapp::2-com.ibragunduz.applockpro,Italcombos Segmentacion Display,Google Display Network,No,5,5,0.0,1.0,5,1.0
2020-01-16,mobileapp::2-sp.app.bubblePop,Automatic placements,mobileapp::2-sp.app.bubblePop,Italcombos Segmentacion Display,Google Display Network,No,3,3,0.0,1.0,3,1.0
2020-01-15,mobileapp::2-com.globalclassicgame.brickpuzzlelegend,Automatic placements,mobileapp::2-com.globalclassicgame.brickpuzzlelegend,Italcombos Segmentacion Display,Google Display Network,No,3,3,0.0,1.0,3,1.0
2020-01-28,mobileapp::2-jp.ne.ibis.ibispaintx.app,Automatic placements,mobileapp::2-jp.ne.ibis.ibispaintx.app,Italcombos Segmentacion Display,Google Display Network,No,3,3,0.0,1.0,3,1.0
2020-01-14,mobileapp::2-com.zuuks.bus.simulator.ultimate,Automatic placements,mobileapp::2-com.zuuks.bus.simulator.ultimate,Italcombos Segmentacion Display,Google Display Network,No,5,5,0.0,1.0,5,1.0
2020-01-12,mobileapp::2-com.easybrain.jigsaw.puzzles,Automatic placements,mobileapp::2-com.easybrain.jigsaw.puzzles,Italcombos Segmentacion Display,Google Display Network,No,5,5,0.0,1.0,5,1.0
2020-01-01,mobileapp::2-com.pixel.art.coloring.color.number,Automatic placements,mobileapp::2-com.pixel.art.coloring.color.number,Italcombos Segmentacion Display,Google Display Network,No,11,13,3.0769230769230766,1.2307692307692308,16,0.8461538461538461
2020-01-18,mobileapp::2-com.decisivestailsceremonys.pers,Automatic placements,mobileapp::2-com.decisivestailsceremonys.pers,Italcombos Segmentacion Display,Google Display Network,No,3,3,0.0,1.0,3,1.0
2020-01-11,mobileapp::2-com.game.fallingpuzzle,Automatic placements,mobileapp::2-com.game.fallingpuzzle,Italcombos Segmentacion Display,Google Display Network,No,3,5,0.0,1.0,5,1.0
2020-01-09,mobileapp::2-com.blockpuzzle.jewel.diamond,Automatic placements,mobileapp::2-com.blockpuzzle.jewel.diamond,Italcombos Segmentacion Display,Google Display Network,No,3,3,0.0,1.0,3,1.0
2020-01-13,costanews.co,Automatic placements,costanews.co/2020/03/12/para-dios-no-hay-nada-imposible-le-dicen-a-hassam-tras-asegurar-que-su-cancer-no-tiene-cura,Italcombos Segmentacion Display,Google Display Network,No,3,3,0.0,1.0,3,1.0
