,Ciudad,lat,lon,DATE,sales
0,acacias,41.667045,-91.541691,2014-02,1
1,acacias,41.667045,-91.541691,2015-04,1
2,acacias,41.667045,-91.541691,2015-07,1
3,acacias,41.667045,-91.541691,2015-12,1
4,acacias,41.667045,-91.541691,2016-07,1
5,acacias,41.667045,-91.541691,2017-02,1
6,acacias,41.667045,-91.541691,2017-10,1
7,acacias,41.667045,-91.541691,2018-09,1
8,acopi yumbo,3.4974589,-76.50835620000001,2019-01,1
9,aguachica,8.309745900000001,-73.61448709999998,2011-04,1
10,aguachica,8.309745900000001,-73.61448709999998,2011-07,1
11,aguachica,8.309745900000001,-73.61448709999998,2011-08,1
12,aguachica,8.309745900000001,-73.61448709999998,2011-09,2
13,aguachica,8.309745900000001,-73.61448709999998,2011-10,2
14,aguachica,8.309745900000001,-73.61448709999998,2011-11,2
15,aguachica,8.309745900000001,-73.61448709999998,2012-01,2
16,aguachica,8.309745900000001,-73.61448709999998,2012-05,1
17,aguachica,8.309745900000001,-73.61448709999998,2012-07,1
18,aguachica,8.309745900000001,-73.61448709999998,2012-11,2
19,aguachica,8.309745900000001,-73.61448709999998,2013-02,1
20,aguachica,8.309745900000001,-73.61448709999998,2013-03,1
21,aguachica,8.309745900000001,-73.61448709999998,2013-04,1
22,aguachica,8.309745900000001,-73.61448709999998,2013-05,1
23,aguachica,8.309745900000001,-73.61448709999998,2013-06,2
24,aguachica,8.309745900000001,-73.61448709999998,2013-08,1
25,aguachica,8.309745900000001,-73.61448709999998,2014-02,1
26,aguachica,8.309745900000001,-73.61448709999998,2014-08,1
27,aguachica,8.309745900000001,-73.61448709999998,2015-01,1
28,aguachica,8.309745900000001,-73.61448709999998,2015-02,1
29,aguachica,8.309745900000001,-73.61448709999998,2015-04,1
30,aguachica,8.309745900000001,-73.61448709999998,2015-12,1
31,aguachica,8.309745900000001,-73.61448709999998,2016-01,1
32,aguachica,8.309745900000001,-73.61448709999998,2016-04,1
33,aguachica,8.309745900000001,-73.61448709999998,2016-06,2
34,aguachica,8.309745900000001,-73.61448709999998,2017-06,1
35,aguachica,8.309745900000001,-73.61448709999998,2018-08,2
36,aguachica,8.309745900000001,-73.61448709999998,2018-09,1
37,aguachica,8.309745900000001,-73.61448709999998,2019-06,1
38,aguadas,5.6135737,-75.45751369999998,2018-08,1
39,agustn codazzi,10.037216099999998,-73.22841120000001,2011-08,1
40,amaga,6.0371130000000015,-75.702277,2015-06,2
41,andes,-21.1607667,-66.7752471,2019-05,1
42,anserma,5.242598,-75.78183100000001,2019-09,1
43,apartado,7.882760999999999,-76.62469200000001,2010-12,1
44,apartado,7.882760999999999,-76.62469200000001,2011-12,1
45,apartado,7.882760999999999,-76.62469200000001,2012-02,1
46,apartado,7.882760999999999,-76.62469200000001,2014-06,1
47,apartado,7.882760999999999,-76.62469200000001,2015-03,1
48,apartado,7.882760999999999,-76.62469200000001,2015-05,1
49,apartado,7.882760999999999,-76.62469200000001,2016-03,1
50,apartado,7.882760999999999,-76.62469200000001,2016-12,1
51,apartado,7.882760999999999,-76.62469200000001,2017-08,1
52,arauca,6.547306,-71.0022311,2010-04,1
53,arauca,6.547306,-71.0022311,2010-06,1
54,arauca,6.547306,-71.0022311,2010-12,1
55,arauca,6.547306,-71.0022311,2011-02,1
56,arauca,6.547306,-71.0022311,2011-04,1
57,arauca,6.547306,-71.0022311,2011-05,4
58,arauca,6.547306,-71.0022311,2011-07,1
59,arauca,6.547306,-71.0022311,2011-08,1
60,arauca,6.547306,-71.0022311,2011-11,1
61,arauca,6.547306,-71.0022311,2012-05,1
62,arauca,6.547306,-71.0022311,2013-02,2
63,arauca,6.547306,-71.0022311,2013-05,4
64,arauca,6.547306,-71.0022311,2013-07,1
65,arauca,6.547306,-71.0022311,2013-10,1
66,arauca,6.547306,-71.0022311,2013-11,2
67,arauca,6.547306,-71.0022311,2014-07,1
68,arauca,6.547306,-71.0022311,2014-10,3
69,arauca,6.547306,-71.0022311,2014-12,1
70,arauca,6.547306,-71.0022311,2015-04,1
71,arauca,6.547306,-71.0022311,2015-06,1
72,arauca,6.547306,-71.0022311,2015-10,1
73,arauca,6.547306,-71.0022311,2015-11,1
74,arauca,6.547306,-71.0022311,2016-06,1
75,arauca,6.547306,-71.0022311,2016-12,1
76,arauca,6.547306,-71.0022311,2017-03,1
