Fecha,Categoría de evento,Acción de evento,Etiqueta de evento,Total de eventos,Eventos únicos,Valor del evento,Valor medio,Sesiones con evento,Eventos/Sesión con evento
24 ene. 2018,UX,detail,Product Detail View,948,189,0,0,110,8.618181818181819
24 ene. 2018,Product Click,click,product,924,189,0,0,78,11.846153846153847
24 ene. 2018,UX,click,Add to Cart,3,3,0,0,0,null
25 ene. 2018,UX,click,Remove From cart,5,3,0,0,0,null
25 ene. 2018,Product Click,click,product,2028,509,0,0,129,15.720930232558139
25 ene. 2018,Transaction,purchase,(not set),3,3,0,0,0,null
25 ene. 2018,UX,click,Add to Cart,22,19,0,0,8,2.75
25 ene. 2018,UX,detail,Product Detail View,2047,512,0,0,377,5.429708222811671
26 ene. 2018,Transaction,purchase,(not set),3,3,0,0,3,1
26 ene. 2018,Product Click,click,product,1069,377,0,0,86,12.430232558139535
26 ene. 2018,UX,detail,Product Detail View,1128,415,0,0,326,3.460122699386503
26 ene. 2018,UX,click,Add to Cart,5,5,0,0,3,1.6666666666666667
26 ene. 2018,UX,click,Remove From cart,8,3,0,0,0,null
27 ene. 2018,Product Click,click,product,1750,544,0,0,129,13.565891472868216
27 ene. 2018,UX,detail,Product Detail View,1764,547,0,0,417,4.23021582733813
28 ene. 2018,UX,detail,Product Detail View,1702,566,0,0,396,4.297979797979798
28 ene. 2018,Product Click,click,product,1651,566,0,0,170,9.711764705882352
29 ene. 2018,Product Click,click,product,2211,644,0,0,164,13.481707317073171
29 ene. 2018,UX,detail,Product Detail View,2262,671,0,0,506,4.470355731225297
30 ene. 2018,Product Click,click,product,2251,665,0,0,224,10.049107142857142
30 ene. 2018,UX,detail,Product Detail View,2332,700,0,0,477,4.888888888888889
31 ene. 2018,UX,detail,Product Detail View,2146,765,0,0,557,3.85278276481149
31 ene. 2018,Product Click,click,product,2047,722,0,0,207,9.88888888888889
1 feb. 2018,Transaction,purchase,(not set),3,3,0,0,3,1
1 feb. 2018,UX,detail,Product Detail View,1651,582,0,0,436,3.786697247706422
1 feb. 2018,Product Click,click,product,1605,560,0,0,145,11.068965517241379
2 feb. 2018,Product Click,click,product,1702,482,0,0,129,13.193798449612403
2 feb. 2018,UX,detail,Product Detail View,1775,520,0,0,390,4.551282051282051
3 feb. 2018,UX,detail,Product Detail View,1056,415,0,0,291,3.6288659793814433
3 feb. 2018,UX,click,Remove From cart,3,3,0,0,0,null
3 feb. 2018,Product Click,click,product,1034,401,0,0,124,8.338709677419354
4 feb. 2018,Product Click,click,product,1570,477,0,0,129,12.170542635658915
4 feb. 2018,UX,click,Add to Cart,3,3,0,0,0,null
4 feb. 2018,UX,detail,Product Detail View,1600,493,0,0,364,4.395604395604396
5 feb. 2018,Product Click,click,product,1573,512,0,0,164,9.591463414634147
5 feb. 2018,Transaction,purchase,(not set),8,3,0,0,3,2.6666666666666665
5 feb. 2018,UX,detail,Product Detail View,1656,563,0,0,399,4.150375939849624
5 feb. 2018,UX,click,Remove From cart,16,3,0,0,0,null
5 feb. 2018,UX,click,Add to Cart,59,3,0,0,0,null
6 feb. 2018,UX,detail,Product Detail View,1651,571,0,0,436,3.786697247706422
6 feb. 2018,Product Click,click,product,1567,552,0,0,135,11.607407407407408
7 feb. 2018,Product Click,click,product,1554,557,0,0,162,9.592592592592593
7 feb. 2018,UX,detail,Product Detail View,1659,601,0,0,439,3.7790432801822322
7 feb. 2018,Transaction,purchase,(not set),3,3,0,0,3,1
8 feb. 2018,UX,detail,Product Detail View,1260,557,0,0,417,3.0215827338129495
8 feb. 2018,Product Click,click,product,1204,522,0,0,140,8.6
9 feb. 2018,UX,detail,Product Detail View,1438,506,0,0,366,3.92896174863388
9 feb. 2018,Product Click,click,product,1368,469,0,0,140,9.771428571428572
10 feb. 2018,Product Click,click,product,827,318,0,0,89,9.292134831460674
10 feb. 2018,UX,detail,Product Detail View,891,350,0,0,261,3.413793103448276
11 feb. 2018,Product Click,click,product,867,355,0,0,86,10.081395348837209
11 feb. 2018,UX,detail,Product Detail View,916,374,0,0,288,3.1805555555555554
12 feb. 2018,Product Click,click,product,1573,428,0,0,129,12.193798449612403
12 feb. 2018,Transaction,purchase,(not set),3,3,0,0,3,1
12 feb. 2018,UX,detail,Product Detail View,1643,458,0,0,326,5.039877300613497
13 feb. 2018,Product Click,click,product,1236,498,0,0,167,7.401197604790419
13 feb. 2018,UX,detail,Product Detail View,1320,547,0,0,382,3.4554973821989527
14 feb. 2018,Transaction,purchase,(not set),5,5,0,0,5,1
14 feb. 2018,Product Click,click,product,1169,450,0,0,121,9.661157024793388
14 feb. 2018,UX,detail,Product Detail View,1268,487,0,0,366,3.4644808743169397
15 feb. 2018,Transaction,purchase,(not set),11,3,0,0,3,3.6666666666666665
15 feb. 2018,UX,detail,Product Detail View,1147,353,0,0,285,4.024561403508772
15 feb. 2018,Product Click,click,product,1034,312,0,0,67,15.432835820895523
16 feb. 2018,UX,click,Add to Cart,3,3,0,0,0,null
16 feb. 2018,UX,detail,Product Detail View,552,207,0,0,156,3.5384615384615383
16 feb. 2018,UX,click,Remove From cart,3,3,0,0,0,null
16 feb. 2018,Product Click,click,product,409,178,0,0,51,8.019607843137255
17 feb. 2018,UX,detail,Product Detail View,315,151,0,0,127,2.4803149606299213
17 feb. 2018,Product Click,click,product,256,113,0,0,24,10.666666666666666
17 feb. 2018,UX,click,Add to Cart,32,8,0,0,0,null
17 feb. 2018,UX,click,Remove From cart,5,5,0,0,0,null
18 feb. 2018,UX,detail,Product Detail View,315,124,0,0,100,3.15
18 feb. 2018,UX,click,Add to Cart,5,5,0,0,3,1.6666666666666667
18 feb. 2018,Product Click,click,product,304,118,0,0,24,12.666666666666666
19 feb. 2018,Transaction,purchase,(not set),3,3,0,0,3,1
19 feb. 2018,UX,click,Add to Cart,27,13,0,0,5,5.4
19 feb. 2018,UX,detail,Product Detail View,722,291,0,0,218,3.311926605504587
19 feb. 2018,Product Click,click,product,665,245,0,0,70,9.5
20 feb. 2018,UX,click,Add to Cart,3,3,0,0,3,1
20 feb. 2018,Product Click,click,product,762,199,0,0,38,20.05263157894737
20 feb. 2018,UX,detail,Product Detail View,821,232,0,0,194,4.231958762886598
21 feb. 2018,Product Click,click,product,638,199,0,0,40,15.95
21 feb. 2018,UX,detail,Product Detail View,716,245,0,0,205,3.4926829268292683
21 feb. 2018,Transaction,purchase,(not set),3,3,0,0,3,1
21 feb. 2018,UX,click,Add to Cart,11,8,0,0,5,2.2
22 feb. 2018,UX,click,Remove From cart,3,3,0,0,3,1
22 feb. 2018,UX,detail,Product Detail View,525,221,0,0,186,2.8225806451612905
22 feb. 2018,Product Click,click,product,474,180,0,0,32,14.8125
22 feb. 2018,UX,click,Add to Cart,13,8,0,0,3,4.333333333333333
23 feb. 2018,UX,detail,Product Detail View,584,218,0,0,175,3.337142857142857
23 feb. 2018,UX,click,Add to Cart,13,11,0,0,0,null
23 feb. 2018,Product Click,click,product,552,202,0,0,43,12.837209302325581
24 feb. 2018,Product Click,click,product,444,175,0,0,27,16.444444444444443
24 feb. 2018,UX,detail,Product Detail View,493,202,0,0,175,2.817142857142857
24 feb. 2018,UX,click,Add to Cart,5,3,0,0,0,null
25 feb. 2018,UX,detail,Product Detail View,353,148,0,0,118,2.9915254237288136
25 feb. 2018,Product Click,click,product,310,129,0,0,30,10.333333333333334
26 feb. 2018,UX,detail,Product Detail View,506,248,0,0,207,2.4444444444444446
26 feb. 2018,UX,click,Add to Cart,8,5,0,0,0,null
26 feb. 2018,Product Click,click,product,450,207,0,0,40,11.25
27 feb. 2018,Product Click,click,product,582,242,0,0,75,7.76
27 feb. 2018,UX,click,Add to Cart,13,13,0,0,3,4.333333333333333
27 feb. 2018,UX,click,Remove From cart,5,3,0,0,3,1.6666666666666667
27 feb. 2018,UX,detail,Product Detail View,649,280,0,0,202,3.212871287128713
28 feb. 2018,Product Click,click,product,633,256,0,0,78,8.115384615384615
28 feb. 2018,UX,click,Add to Cart,8,5,0,0,0,null
28 feb. 2018,UX,detail,Product Detail View,751,302,0,0,224,3.3526785714285716
1 mar. 2018,UX,click,Add to Cart,8,5,0,0,5,1.6
1 mar. 2018,Product Click,click,product,401,172,0,0,43,9.325581395348838
1 mar. 2018,UX,click,Remove From cart,3,3,0,0,3,1
1 mar. 2018,UX,detail,Product Detail View,525,218,0,0,175,3
2 mar. 2018,UX,click,Remove From cart,5,3,0,0,0,null
2 mar. 2018,UX,click,Add to Cart,38,8,0,0,3,12.666666666666666
2 mar. 2018,Product Click,click,product,431,175,0,0,48,8.979166666666666
2 mar. 2018,UX,detail,Product Detail View,512,218,0,0,167,3.065868263473054
3 mar. 2018,UX,click,Add to Cart,8,5,0,0,0,null
3 mar. 2018,UX,detail,Product Detail View,388,148,0,0,116,3.3448275862068964
3 mar. 2018,Product Click,click,product,369,140,0,0,32,11.53125
4 mar. 2018,UX,click,Add to Cart,48,5,0,0,0,null
4 mar. 2018,UX,click,Remove From cart,30,5,0,0,0,null
4 mar. 2018,UX,detail,Product Detail View,547,167,0,0,129,4.24031007751938
4 mar. 2018,Transaction,purchase,(not set),3,3,0,0,3,1
4 mar. 2018,Product Click,click,product,522,145,0,0,38,13.736842105263158
5 mar. 2018,UX,detail,Product Detail View,967,302,0,0,213,4.539906103286385
5 mar. 2018,Product Click,click,product,886,269,0,0,89,9.955056179775282
6 mar. 2018,UX,click,Add to Cart,38,16,0,0,8,4.75
6 mar. 2018,Product Click,click,product,544,183,0,0,51,10.666666666666666
6 mar. 2018,UX,click,Remove From cart,5,3,0,0,0,null
6 mar. 2018,UX,detail,Product Detail View,614,224,0,0,170,3.611764705882353
7 mar. 2018,Product Click,click,product,549,240,0,0,81,6.777777777777778
7 mar. 2018,UX,detail,Product Detail View,633,291,0,0,210,3.0142857142857142
7 mar. 2018,UX,click,Add to Cart,3,3,0,0,0,null
8 mar. 2018,Product Click,click,product,536,199,0,0,46,11.652173913043478
8 mar. 2018,UX,click,Add to Cart,3,3,0,0,0,null
8 mar. 2018,UX,click,Remove From cart,3,3,0,0,0,null
8 mar. 2018,UX,detail,Product Detail View,606,237,0,0,191,3.1727748691099475
9 mar. 2018,Product Click,click,product,595,183,0,0,48,12.395833333333334
9 mar. 2018,UX,click,Add to Cart,3,3,0,0,0,null
9 mar. 2018,UX,detail,Product Detail View,679,234,0,0,186,3.650537634408602
10 mar. 2018,UX,detail,Product Detail View,514,205,0,0,159,3.2327044025157234
10 mar. 2018,Product Click,click,product,434,170,0,0,43,10.093023255813954
10 mar. 2018,UX,click,Add to Cart,3,3,0,0,3,1
11 mar. 2018,Product Click,click,product,151,78,0,0,22,6.863636363636363
11 mar. 2018,UX,detail,Product Detail View,164,92,0,0,70,2.342857142857143
12 mar. 2018,UX,click,Add to Cart,24,11,0,0,5,4.8
12 mar. 2018,Product Click,click,product,706,248,0,0,70,10.085714285714285
12 mar. 2018,UX,click,Remove From cart,3,3,0,0,0,null
12 mar. 2018,UX,detail,Product Detail View,805,275,0,0,202,3.985148514851485
13 mar. 2018,UX,click,Add to Cart,43,16,0,0,8,5.375
13 mar. 2018,UX,detail,Product Detail View,891,310,0,0,207,4.304347826086956
13 mar. 2018,UX,click,Remove From cart,8,3,0,0,0,null
13 mar. 2018,Transaction,purchase,(not set),3,3,0,0,3,1
13 mar. 2018,Product Click,click,product,838,267,0,0,94,8.914893617021276
14 mar. 2018,UX,detail,Product Detail View,730,272,0,0,189,3.8624338624338623
14 mar. 2018,UX,click,Remove From cart,5,3,0,0,0,null
14 mar. 2018,UX,click,Add to Cart,3,3,0,0,3,1
14 mar. 2018,Transaction,purchase,(not set),8,8,0,0,8,1
14 mar. 2018,Product Click,click,product,676,234,0,0,83,8.144578313253012
15 mar. 2018,Transaction,purchase,(not set),3,3,0,0,3,1
15 mar. 2018,UX,detail,Product Detail View,627,229,0,0,170,3.6882352941176473
15 mar. 2018,Product Click,click,product,555,183,0,0,57,9.736842105263158
15 mar. 2018,UX,click,Add to Cart,3,3,0,0,0,null
16 mar. 2018,Product Click,click,product,671,224,0,0,57,11.771929824561404
16 mar. 2018,UX,detail,Product Detail View,722,253,0,0,197,3.66497461928934
16 mar. 2018,UX,click,Add to Cart,3,3,0,0,3,1
17 mar. 2018,UX,click,Add to Cart,5,5,0,0,3,1.6666666666666667
17 mar. 2018,UX,detail,Product Detail View,528,151,0,0,108,4.888888888888889
17 mar. 2018,Product Click,click,product,485,135,0,0,43,11.279069767441861
18 mar. 2018,UX,click,Remove From cart,3,3,0,0,0,null
