Fecha,Tiempo en la página,Muestreo de carga de página,Promedio de tiempo en la página,Tiempo de búsqueda de dominio (ms),Promedio de páginas vistas por búsqueda,Tiempo de descarga de la página (ms),Tiempo medio de descarga de la página (s),Tiempo de redirección (ms),Tiempo medio de redirección (s),Tiempo de conexión de servidor (ms),Tiempo medio de conexión de servidor (es),Tiempo medio de respuesta de servidor (es),Tiempo medio de respuesta de servidor (es),Muestra de métricas de velocidad,Tiempo de interacción de documento (milésimas de segundo),Tiempo medio de interacción de documento (segundos),Tiempo de carga de contenido de documento (milésimas de segundo),Muestra de métricas de latencia de DOM
20170101,130296,23,60.744055944055944,0,null,2657,0.11552173913043479,2030,0.08826086956521739,62,0.0026956521739130435,0.4954782608695652,0.4954782608695652,23,64388,2.799478260869565,64396,23
20170102,393828,33,63.336764232872305,24,null,3525,0.10681818181818181,998,0.03024242424242424,229,0.00693939393939394,0.6462121212121212,0.6462121212121212,33,58996,2.5650434782608693,59001,23
20170103,478691,79,64.6704944609565,548,null,13831,0.17507594936708862,17975,0.22753164556962024,2586,0.032734177215189876,0.6482278481012659,0.6482278481012659,79,290404,3.676,290413,79
20170104,607112,81,70.6190531580784,6729,null,22931,0.2830987654320988,25692,0.3171851851851852,6444,0.07955555555555556,1.9816049382716048,1.9816049382716048,81,730850,9.022839506172838,730868,81
20170105,668682,45,75.3784240784579,843,null,44402,0.9867111111111111,38510,0.8557777777777779,565,0.012555555555555556,1.5565333333333333,1.5565333333333333,45,384578,8.546177777777777,384585,45
20170106,491381,44,75.07731092436975,1744,null,12589,0.28611363636363635,18884,0.42918181818181816,3417,0.0776590909090909,1.044590909090909,1.044590909090909,44,264658,6.014954545454545,264661,44
20170107,320202,81,57.23002680965148,750,null,11275,0.1391975308641975,7788,0.09614814814814815,135,0.0016666666666666668,0.55120987654321,0.55120987654321,81,129414,1.5977037037037036,134263,81
20170108,270052,40,50.713990610328636,19,null,4613,0.115325,2752,0.0688,602,0.015050000000000001,1.057025,1.057025,40,102956,2.5739,102962,40
20170109,332346,76,53.252042941836244,127,null,8180,0.10763157894736843,3962,0.05213157894736842,139,0.0018289473684210526,0.3095,0.3095,76,110239,1.4505131578947368,110256,76
20170110,483250,20,63.87126619085382,37,null,2095,0.10475,4700,0.235,177,0.00885,0.538,0.538,20,62768,3.1384000000000003,62768,20
20170111,547438,108,65.24109164581098,116,null,9851,0.09121296296296297,2518,0.023314814814814813,717,0.0066388888888888895,0.23132407407407407,0.23132407407407407,108,130261,1.2061203703703705,130283,108
