Red social,Fecha,Clics,Clics de AdX,Cuota de impresiones visibles de AdX,Número de páginas vistas con obtención de ingresos de AdX,Ingresos,Cobertura de AdX,Impresiones
(not set),11 feb. 2019,0,0,0,0,771284.646546,0,0
(not set),14 feb. 2019,0,0,0,0,1506622.688824,0,0
(not set),23 abr. 2019,0,0,0,0,342031.347134,0,0
(not set),12 abr. 2019,0,0,0,0,236572.17549,0,0
(not set),23 jul. 2020,0,0,0,0,2264714.166782,0,0
(not set),13 feb. 2019,0,0,0,0,17062965.421908,0,0
(not set),12 ago. 2019,0,0,0,0,387796.74966,0,0
(not set),8 jul. 2020,0,0,0,0,279536.823713,0,0
(not set),5 jul. 2020,0,0,0,0,1304483.633064,0,0
(not set),26 jun. 2018,0,0,0,0,78636.563125,0,0
(not set),10 ene. 2019,0,0,0,0,363414.029025,0,0
(not set),17 jul. 2020,0,0,0,0,2223061.025622,0,0
(not set),18 dic. 2019,0,0,0,0,1355123.42529,0,0
(not set),7 feb. 2019,0,0,0,0,6229289.604137,0,0
(not set),19 abr. 2020,0,0,0,0,795758.930302,0,0
(not set),11 jul. 2018,0,0,0,0,5173585.665079,0,0
(not set),11 mar. 2019,0,0,0,0,2371536.013115,0,0
(not set),11 abr. 2019,0,0,0,0,121768.179393,0,0
(not set),15 dic. 2019,0,0,0,0,5827712.604699,0,0
(not set),25 abr. 2020,0,0,0,0,332858.876791,0,0
(not set),22 mar. 2019,0,0,0,0,1753161.779387,0,0
(not set),17 dic. 2018,0,0,0,0,3364944.713193,0,0
(not set),4 sept. 2019,0,0,0,0,5503751.508886,0,0
Facebook,7 ago. 2018,0,0,0,0,1198399.677768,0,0
(not set),28 ago. 2020,0,0,0,0,248674.665719,0,0
(not set),10 jul. 2018,0,0,0,0,175585.75054,0,0
(not set),28 ene. 2020,0,0,0,0,100302.01348,0,0
(not set),19 sept. 2018,0,0,0,0,2006848.179489,0,0
(not set),23 jun. 2020,0,0,0,0,4487268.902204,0,0
(not set),18 jul. 2018,0,0,0,0,120378.574374,0,0
(not set),29 dic. 2018,0,0,0,0,1081952.931551,0,0
Facebook,10 ago. 2018,0,0,0,0,820836.453446,0,0
(not set),23 dic. 2018,0,0,0,0,1809804.342134,0,0
(not set),1 abr. 2020,0,0,0,0,150755.98643,0,0
(not set),2 may. 2020,0,0,0,0,398299.578296,0,0
(not set),10 jun. 2020,0,0,0,0,1677220.942278,0,0
(not set),28 abr. 2020,0,0,0,0,3708306.418621,0,0
(not set),22 oct. 2019,0,0,0,0,454449.316008,0,0
(not set),4 abr. 2019,0,0,0,0,3186450.487031,0,0
(not set),11 sept. 2018,0,0,0,0,688339.230646,0,0
(not set),30 dic. 2018,0,0,0,0,3207671.586943,0,0
(not set),13 dic. 2019,0,0,0,0,3783595.541748,0,0
(not set),25 ene. 2019,0,0,0,0,2281171.291346,0,0
(not set),12 dic. 2019,0,0,0,0,8143731.742855,0,0
(not set),27 ago. 2020,0,0,0,0,6872921.79422,0,0
(not set),14 dic. 2019,0,0,0,0,74437370.654551,0,0
(not set),15 abr. 2019,0,0,0,0,511748.978803,0,0
(not set),26 mar. 2019,0,0,0,0,1499095.661634,0,0
(not set),28 jun. 2018,0,0,0,0,3219520.932071,0,0
(not set),1 mar. 2019,0,0,0,0,276111.285758,0,0
(not set),23 ago. 2018,0,0,0,0,1047051.224081,0,0
(not set),5 jun. 2019,0,0,0,0,131972.081369,0,0
(not set),30 jun. 2020,0,0,0,0,1196546.871075,0,0
(not set),26 jul. 2018,0,0,0,0,89408.69506,0,0
(not set),5 feb. 2019,0,0,0,0,2916915.587819,0,0
(not set),30 jul. 2020,0,0,0,0,920209.370547,0,0
(not set),5 dic. 2018,0,0,0,0,3771323.390441,0,0
(not set),3 jul. 2019,0,0,0,0,293174.342743,0,0
(not set),12 feb. 2020,0,0,0,0,2157819.608558,0,0
(not set),9 mar. 2019,0,0,0,0,9266279.453603,0,0
(not set),17 may. 2019,0,0,0,0,1317973.035279,0,0
(not set),21 nov. 2019,0,0,0,0,136698.354255,0,0
(not set),27 may. 2020,0,0,0,0,563662.57563,0,0
(not set),29 nov. 2019,0,0,0,0,5098353.095645,0,0
(not set),8 feb. 2019,0,0,0,0,44704.34753,0,0
(not set),22 jun. 2018,0,0,0,0,52.979548,0,0
(not set),22 ene. 2019,0,0,0,0,3565212.11103,0,0
(not set),26 dic. 2019,0,0,0,0,263944.162737,0,0
(not set),19 jun. 2020,0,0,0,0,28022419.345185,0,0
(not set),20 jun. 2018,0,0,0,0,2194.658732,0,0
(not set),22 abr. 2019,0,0,0,0,913983.078288,0,0
(not set),19 feb. 2019,0,0,0,0,2750666.582633,0,0
(not set),10 may. 2020,0,0,0,0,1201879.076383,0,0
(not set),7 dic. 2018,0,0,0,0,654407.015051,0,0
(not set),27 jul. 2020,0,0,0,0,422746.931723,0,0
(not set),19 oct. 2018,0,0,0,0,339052.852654,0,0
(not set),11 ago. 2019,0,0,0,0,524872.128533,0,0
(not set),8 mar. 2019,0,0,0,0,295501.123241,0,0
(not set),11 may. 2020,0,0,0,0,631720.905196,0,0
(not set),9 jul. 2018,0,0,0,0,494440.855816,0,0
(not set),30 ago. 2020,0,0,0,0,376486.011128,0,0
(not set),9 jul. 2020,0,0,0,0,279536.823713,0,0
(not set),24 mar. 2019,0,0,0,0,1211175.426243,0,0
(not set),28 feb. 2019,0,0,0,0,1406142.935167,0,0
(not set),22 sept. 2019,0,0,0,0,1254926.440097,0,0
(not set),20 jul. 2020,0,0,0,0,3432389.031238,0,0
(not set),31 jul. 2020,0,0,0,0,296230.935179,0,0
(not set),2 ago. 2020,0,0,0,0,274689.364342,0,0
(not set),19 jun. 2018,0,0,0,0,2001.37818,0,0
(not set),10 ago. 2018,0,0,0,0,1641672.906893,0,0
(not set),19 may. 2020,0,0,0,0,3079636.719796,0,0
(not set),20 nov. 2019,0,0,0,0,436809.949964,0,0
(not set),1 dic. 2019,0,0,0,0,2828716.064568,0,0
(not set),29 ago. 2018,0,0,0,0,794444.730206,0,0
Facebook,8 mar. 2020,0,0,0,0,2501173.234887,0,0
(not set),21 may. 2020,0,0,0,0,1346581.124666,0,0
(not set),27 ene. 2020,0,0,0,0,283605.996552,0,0
(not set),29 may. 2020,0,0,0,0,582801.961046,0,0
(not set),2 jun. 2020,0,0,0,0,1355268.849071,0,0
(not set),3 jul. 2020,0,0,0,0,1643019.423385,0,0
(not set),2 dic. 2019,0,0,0,0,5048095.714102,0,0
(not set),15 dic. 2018,0,0,0,0,578463.484909,0,0
(not set),18 jun. 2019,0,0,0,0,165696.933424,0,0
(not set),15 jul. 2020,0,0,0,0,364633.972967,0,0
(not set),24 jun. 2020,0,0,0,0,725260.712853,0,0
(not set),2 jul. 2020,0,0,0,0,123206.259006,0,0
(not set),29 ene. 2019,0,0,0,0,6125696.704351,0,0
(not set),21 jul. 2020,0,0,0,0,465625.40289,0,0
(not set),31 ago. 2020,0,0,0,0,5216932.723985,0,0
(not set),21 mar. 2019,0,0,0,0,460042.745515,0,0
(not set),4 jul. 2020,0,0,0,0,1050013.560363,0,0
(not set),23 nov. 2018,0,0,0,0,10848393.243027,0,0
(not set),25 feb. 2019,0,0,0,0,27813790.079934,0,0
(not set),4 jul. 2018,0,0,0,0,160235.462533,0,0
(not set),21 jun. 2018,0,0,0,0,3472.100789,0,0
(not set),13 may. 2020,0,0,0,0,1276220.251899,0,0
(not set),21 ene. 2019,0,0,0,0,13221884.398089,0,0
(not set),23 jun. 2018,0,0,0,0,30725.421778,0,0
(not set),19 ago. 2020,0,0,0,0,797506.708708,0,0
(not set),5 may. 2020,0,0,0,0,2586216.523481,0,0
(not set),31 jul. 2018,0,0,0,0,1341130.425907,0,0
(not set),31 ene. 2019,0,0,0,0,3138013.595785,0,0
(not set),15 nov. 2018,0,0,0,0,5977913.826335,0,0
(not set),9 feb. 2019,0,0,0,0,110145.049035,0,0
(not set),5 ago. 2020,0,0,0,0,530796.801097,0,0
(not set),19 jul. 2018,0,0,0,0,1973454.570491,0,0
(not set),8 ene. 2019,0,0,0,0,4544202.312513,0,0
(not set),30 ene. 2019,0,0,0,0,2253548.852031,0,0
(not set),28 ene. 2019,0,0,0,0,3866473.631823,0,0
(not set),17 jun. 2019,0,0,0,0,511134.967282,0,0
(not set),18 abr. 2020,0,0,0,0,156185.140925,0,0
(not set),28 nov. 2019,0,0,0,0,4964662.859233,0,0
(not set),1 jul. 2020,0,0,0,0,673258.245937,0,0
(not set),30 ene. 2020,0,0,0,0,155388.003162,0,0
(not set),7 oct. 2019,0,0,0,0,763474.850893,0,0
(not set),26 feb. 2019,0,0,0,0,3980302.74998,0,0
(not set),1 nov. 2018,0,0,0,0,826459.506317,0,0
(not set),8 oct. 2018,0,0,0,0,1228023.040589,0,0
(not set),22 may. 2020,0,0,0,0,3098320.982637,0,0
(not set),12 mar. 2019,0,0,0,0,5771215.465733,0,0
(not set),14 nov. 2018,0,0,0,0,533220.530782,0,0
(not set),8 may. 2020,0,0,0,0,201121.089292,0,0
(not set),2 mar. 2019,0,0,0,0,719039.806661,0,0
(not set),14 ene. 2019,0,0,0,0,2607736.550054,0,0
Facebook,30 ago. 2020,0,0,0,0,1023352.533824,0,0
Facebook,2 ago. 2018,0,0,0,0,241295.755344,0,0
(not set),7 may. 2020,0,0,0,0,123206.259006,0,0
(not set),10 sept. 2018,0,0,0,0,3187473.839564,0,0
(not set),21 oct. 2019,0,0,0,0,563926.492863,0,0
(not set),24 oct. 2018,0,0,0,0,909639.216086,0,0
(not set),18 jun. 2020,0,0,0,0,9482880.096485,0,0
(not set),30 jul. 2018,0,0,0,0,427653.637819,0,0
(not set),5 feb. 2020,0,0,0,0,522028.285702,0,0
(not set),17 jul. 2019,0,0,0,0,2445123.139396,0,0
(not set),18 mar. 2019,0,0,0,0,2724622.260648,0,0
(not set),25 may. 2020,0,0,0,0,5445506.591514,0,0
(not set),9 abr. 2019,0,0,0,0,5723171.757303,0,0
(not set),9 jun. 2019,0,0,0,0,866451.046125,0,0
(not set),15 feb. 2019,0,0,0,0,2898360.590561,0,0
(not set),20 ene. 2020,0,0,0,0,931789.412377,0,0
(not set),27 ago. 2018,0,0,0,0,1067733.717397,0,0
(not set),23 may. 2020,0,0,0,0,1092617.342166,0,0
(not set),24 ago. 2020,0,0,0,0,4391911.297282,0,0
(not set),27 jun. 2020,0,0,0,0,2261609.099752,0,0
(not set),24 may. 2020,0,0,0,0,1093904.611933,0,0
(not set),14 jun. 2019,0,0,0,0,511134.967282,0,0
(not set),27 jul. 2019,0,0,0,0,1969283.062399,0,0
(not set),5 jun. 2020,0,0,0,0,2315469.759427,0,0
(not set),26 nov. 2018,0,0,0,0,3274351.08362,0,0
(not set),9 may. 2020,0,0,0,0,1201879.076383,0,0
(not set),5 ene. 2019,0,0,0,0,827178.546123,0,0
(not set),20 sept. 2018,0,0,0,0,712576.5275,0,0
(not set),31 dic. 2018,0,0,0,0,79713.776319,0,0
(not set),20 feb. 2019,0,0,0,0,276886.879257,0,0
(not set),16 may. 2020,0,0,0,0,364633.972967,0,0
(not set),18 dic. 2018,0,0,0,0,1706693.495253,0,0
