Fecha,Consulta de búsqueda,URL visible,URL de destino,ID de cliente de Google Ads,ID de campaña de Google Ads,ID de grupo de anuncios de Google Ads,ID de criterios de Google Ads,ID de creatividad de Google Ads,Recuento de palabras de la consulta,Impresiones,Clics de AdX,Coste,CPM,CPC,CTR,Coste por transacción,Coste por conversión de objetivo,Coste por conversión,RPC,Retorno de la inversión en publicidad (ROAS)
20180619,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20180620,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20180621,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20180622,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20180623,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20180626,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20180628,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20180704,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20180709,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20180710,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20180711,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20180718,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20180719,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20180726,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20180730,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20180731,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20180802,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20180807,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20180810,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20180823,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20180827,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20180829,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20180910,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20180911,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20180919,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20180920,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20181008,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20181019,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20181024,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20181101,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20181114,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20181115,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20181123,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
