Fecha,Red de distribución de anuncios,Tipo de concordancia de la consulta,Impresiones,Clics de AdX,Coste,CPM,CPC,CTR,Coste por transacción,Coste por conversión de objetivo,Coste por conversión,RPC,Retorno de la inversión en publicidad (ROAS)
20170101,Search partners,Exact match,40,0,858,21450,429,0.05,0,0,0,0,0
20170101,Search partners,Phrase match,39,0,6160,157948.71794871797,440,0.358974358974359,0,0,0,0,0
20170101,Google Search,Phrase match,262,0,98391,375538.16793893126,1014.340206185567,0.3702290076335878,0,0,0,0,0
20170101,Google Search,Broad match,182,0,72253,396994.5054945055,926.3205128205128,0.42857142857142855,0,0,0,0,0
20170101,Google Search,Exact match,183,0,35693,195043.71584699454,728.4285714285714,0.2677595628415301,0,0,0,0,0
20170101,Search partners,Broad match,18,0,577,32055.55555555556,144.25,0.2222222222222222,0,0,0,0,0
20170102,Google Search,Phrase match,580,0,197034,339713.7931034483,883.5605381165919,0.38448275862068965,0,0,0,0,0
20170102,Search partners,Exact match,103,0,172,1669.9029126213593,86,0.019417475728155338,0,0,0,0,0
20170102,Google Search,Exact match,383,0,53126,138710.18276762404,431.9186991869919,0.32114882506527415,0,0,0,0,0
20170102,Search partners,Phrase match,114,0,11062,97035.08771929824,409.7037037037037,0.23684210526315788,0,0,0,0,0
20170102,Search partners,Broad match,51,0,3297,64647.05882352942,412.125,0.1568627450980392,0,0,0,0,0
20170102,Google Search,Broad match,364,0,115842,318247.25274725276,864.4925373134328,0.36813186813186816,0,0,0,0,0
20170103,Search partners,Exact match,52,0,1129,21711.538461538465,376.3333333333333,0.057692307692307696,0,0,0,0,0
20170103,Search partners,Phrase match,76,0,6556,86263.15789473684,312.1904761904762,0.27631578947368424,0,0,0,0,0
20170103,Google Search,Phrase match,536,0,205918,384175.3731343283,895.295652173913,0.4291044776119403,0,0,0,0,0
20170103,Search partners,Broad match,42,0,7674,182714.2857142857,590.3076923076923,0.30952380952380953,0,0,0,0,0
20170103,Google Search,Broad match,348,0,140124,402655.17241379316,921.8684210526316,0.4367816091954023,0,0,0,0,0
20170103,Google Search,Exact match,365,0,48968,134158.90410958906,408.06666666666666,0.3287671232876712,0,0,0,0,0
