Nombre_Sala ;Zona_Sala;Ano_Mes;Total_Clientes;Clientes_Nuevos;Clientes_Recurrentes;Max_Valor_Cliente+Fact;Cant_Trx_Cliente+Fact;Nivel_ingresos_Cliente+Fact;Ciudad_Cliente+Fact;Genero_Cliente+Fact;Edad_Cliente+Fact;Cant_Trx_Cliente+Trx;Ticket_Prom_Cliente+Trx;Nivel_ingresos_Cliente+Trx;Ciudad_Cliente+Trx;Genero_Cliente+Trx;Edad_Cliente+Trx;Clientes_bancolombia;Clientes_ Otros_bancos;Persona_Natural;Persona_Juridica;Persona_Sin_Datos;Genero_Mujer;Genero_Hombre;Genero_Sin_datos;Mujer_Menor_17;Hombre_Menor_17;Mujer_17_a_24;Hombre_17_a_24;Mujer_25_a_36;Hombre_25_a_36;Mujer_37_a_49;Hombre_37_a_49;Mujer_50_a_64;Hombre_50_a_64;Mujer_Mayor_64;Hombre_Mayor_64;Edad_Sin_datos;Casado;Divorciado;Soltero;Union_Libre;Viudo;Estado_Civil_Sin_datos;Afinidad_Bienestar;Afinidad_Carro;Afinidad_Cine;Afinidad_Colegio;Afinidad_Comida_rapida;Afinidad_Compra_Online;Afinidad_Cultura;Afinidad_Decoracion;Afinidad_Deporte;Afinidad_Entretenimiento;Afinidad_Familia;Afinidad_Futbol;Afinidad_Mascotas;Afinidad_Mercado;Afinidad_Moda_General;Afinidad_Moda_Hombre;Afinidad_Moda_Mujer;Afinidad_Moto;Afinidad_Ninos;Afinidad_Reposteria;Afinidad_Restaurante;Afinidad_Salud;Afinidad_Tecnologia;Afinidad_Transporte publico;Afinidad_Universidad;Afinidad_Viajes;Cant_hijos_0;Cant_hijos_1;Cant_hijos_2;Cant_hijos_3;Cant_hijos_4+;Cant_hijos_Sin_datos;"Clientes bancolombia
Salario Minimo
0 a 1
% Clientes";"Clientes bancolombia
Salario Minimo
0 a 1
Ticket Promedio";"Clientes bancolombia
Salario Minimo
2 a 3
% Clientes";"Clientes bancolombia
Salario Minimo
2 a 3
Ticket Promedio";"Clientes bancolombia
Salario Minimo
4 a 6
% Clientes";"Clientes bancolombia
Salario Minimo
4 a 6
Ticket Promedio";"Clientes bancolombia
Salario Minimo
7 a 10
% Clientes";"Clientes bancolombia
Salario Minimo
7 a 10
Ticket Promedio";"Clientes bancolombia
Salario Minimo
+11
% Clientes";"Clientes bancolombia
Salario Minimo
+11
Ticket Promedio";"Clientes bancolombia
Ocupacion
Ama de casa
% de Clientes";"Clientes bancolombia
Ocupacion
Ama de casa
% Ticket Promedio";"Clientes bancolombia
Ocupacion
Comerciante
% de Clientes";"Clientes bancolombia
Ocupacion
Comerciante
% Ticket Promedio";"Clientes bancolombia
Ocupacion
Desempleado sin ingresos
% de Clientes";"Clientes bancolombia
Ocupacion
Desempleado sin ingresos
% Ticket Promedio";"Clientes bancolombia
Ocupacion
Empleado
% de Clientes";"Clientes bancolombia
Ocupacion
Empleado
% de Clientes";"Clientes bancolombia
Ocupacion
Estudiante
% de Clientes";"Clientes bancolombia
Ocupacion
Estudiante
% Ticket Promedio";"Clientes bancolombia
Ocupacion
Ganadero
% de Clientes";"Clientes bancolombia
Ocupacion
Ganader
% Ticket Promedio";"Clientes bancolombia
Ocupacion
Independiente
% de Clientes";"Clientes bancolombia
Ocupacion
Independiente
% Ticket Promedio";"Clientes bancolombia
Ocupacion
Jubilado
% de Clientes";"Clientes bancolombia
Ocupacion
Jubilado
% Ticket Promedio";"Clientes bancolombia
Ocupacion
Otros
% de Clientes";"Clientes bancolombia
Ocupacion
Otros
% Ticket Promedio";"Clientes bancolombia
Ocupacion
Profesional Independiente
% de Clientes";"Clientes bancolombia
Ocupacion
Profesional Independiente
% de Clientes";"Clientes bancolombia
Ocupacion
Rentista de capital
% de Clientes";"Clientes bancolombia
Ocupacion
Rentista de capital
% Ticket Promedio";"Clientes bancolombia
Ocupacion
Socio o Empleado
% de Clientes";"Clientes bancolombia
Ocupacion
Socio o empleado
% Ticket Promedio";"Clientes Bancolombia
Nivel digital 
Bajo";"Clientes Bancolombia
Nivel digital 
Medio";"Clientes Bancolombia
Nivel digital 
Alto";"Clientes Bancolombia
Nivel digital 
Muy alto";"Clientes Bancolombia
Nivel digital 
Sin datos";"Clientes Bancolombia
Medios de transporte que usan mis clientes
Publico";"Clientes Bancolombia
Medios de transporte que usan mis clientes
Particular";"Clientes Bancolombia
Medios de transporte que usan mis clientes
Apss";"Clientes Bancolombia
Medios de transporte que usan mis clientes
Sin datos";"Clientes Bancolombia
Tipo de vivienda
Familiar";"Clientes Bancolombia
Tipo de vivienda
Propia";"Clientes Bancolombia
Tipo de vivienda
Sin datos";;
CERAMIA BARRANQUILLA;615;202007;12;12;0;$5.124.964;2;+11 SMMLV;BARRANQUILLA;HOMBRE;25-36;2.0;$55.124.964;+11 SMMLV;BARRANQUILLA;HOMBRE;25 a 36;6;6;6;0;0;2;4;0;0;0;0;0;2;2;0;1;0;1;0;0;0;1;0;4;1;0;0;2;1;0;0;0;2;0;1;0;3;0;0;0;1;2;0;1;0;0;0;1;0;2;0;0;1;6;0;0;0;0;0;0;0;0;$0;33.33%;$777.765;0%;0;66.67%;$2.634.099;0;$0;0;$0;0;$0;50%;$610.675;16.67%;$300.000;0;$0;33.33%;$4.198.000;0;$0;0%;$0;0%;$0;0;$0;0%;$0;0;1;1;1;3;1;0;0;5;1;2;3;;
CERAMIA BARRANQUILLA;615;202006;1;1;0;$75.268;1;+11 SMMLV;BARRANQUILLA;HOMBRE;25-36;1;$75.268;+11 SMMLV;BARRANQUILLA;HOMBRE;25 a 36;1;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;$0;0;$0;0%;0;100%;$75.268;0;$0;0;$0;0;$0;0%;$0;0;$0;0;$0;0;$0;0;$0;0%;$0;0%;$0;0;$0;100%;$75.268;0;0;1;0;0;0;0;0;1;1;0;0;;
CERAMIA BARRANQUILLA;615;202005;0;0;0;$0;0;;;;;0;$0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;$0;0;$0;0%;0;0;$0;0;$0;0;$0;0;$0;0%;$0;0;$0;0;$0;0;$0;0;$0;0%;$0;0%;$0;0;$0;0%;$0;0;0;0;0;0;0;0;0;0;0;0;0;;
CERAMIA BARRANQUILLA;615;202004;0;0;0;$0;0;;;;;0;$0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;$0;0;$0;0%;0;0;$0;0;$0;0;$0;0;$0;0%;$0;0;$0;0;$0;0;$0;0;$0;0%;$0;0%;$0;0;$0;0%;$0;0;0;0;0;0;0;0;0;0;0;0;0;;
CERAMIA BARRANQUILLA;615;202003;5;4;1;$2.837.146;1;4 a 6 SMMLV;RIOHACHA;MUJER;37 a 49;1;$578.702;+11 SMMLV;BARRANQUILLA;MUJER;37 a 49;5;0;4;1;0;2;2;0;0;0;0;0;0;0;2;1;0;1;0;0;0;3;0;0;1;0;0;2;1;0;0;0;1;1;3;0;1;4;0;1;1;1;0;1;0;1;1;1;2;3;0;0;0;0;1;1;1;0;1;0,00%;$0;20,00%;$225.697;20,00%;$2.837.146;0,00%;$0;60,00%;$427.939;0;$0;0;$0;0;$0;0,2;$252.719;0;$0;0;$0;20,00%;$2.837.146;0;$0;20;$225.697;0%;$0;20;$452.398;0,2;$452.398;1;0;1;0;2;0;0;0;4;1;0;3;;
CERAMIA BARRANQUILLA;615;202002;16;13;3;$3.000.000;1;+11 SMMLV;CARTAGENA;HOMBRE;37 a 49;2;$509.633;2 a 3 SMMLV;BARRANQUILLA;MUJER;25 a 36;16;0;13;3;0;3;10;0;0;0;0;0;1;4;2;2;0;3;0;1;0;8;0;3;2;0;0;2;3;2;0;3;3;3;7;2;3;0;0;1;5;3;1;3;0;3;9;5;2;4;0;0;6;6;1;2;4;0;0;0,00%;$0;13.33%;$523.939;0,00%;$0;6.67%;$75.268;80,00%;$1.291.203;6.25%;$509.633;0;$0;0;$0;43.75%;$876.738;0;$0;6.25%;$1.549.623;0;$0;0;$0;18.75%;$351.478;0%;$0;0;$0;18.75%;$1.507.846;0;3;9;0;1;0;3;2;8;6;3;4;;
CERAMIA BARRANQUILLA;615;202001;14;11;3;$1.947.481;1;7 a 10 SMMLV;SOLEDAD;MUJER;25-36;2;$211.119;2 a 3 SMMLV;BARRANQUILLA;HOMBRE;37 a 49;14;0;12;2;0;6;6;0;0;0;0;0;2;1;2;4;2;1;0;0;1;7;2;2;0;0;1;4;3;3;0;4;3;3;4;3;1;3;0;0;7;4;0;1;0;1;4;6;3;3;1;0;4;8;2;2;0;0;0;0,00%;$0;14.29%;$190.924;14.29%;$262.708;14.29%;$1.226.740;57.14%;$1.741.139;0;$0;0;$0;0;$0;42.86%;$2.388.733;0;$0;0;$0;7.14%;$246.649;0;$0;28.58%;$684.383;7.14%;$211.118;0;$0;0;$0;0;2;7;1;2;1;0;1;10;4;3;5;;
CERAMIA BARRANQUILLA;615;201912;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CERAMIA BARRANQUILLA;615;201911;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CERAMIA BARRANQUILLA;615;201910;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
