Fecha,Página de destino,Resultados,% Δ,Total de búsquedas únicas,% Δ,Número de páginas vistas de resultados,% Δ,Sesiones con búsquedas,% Δ,% de sesiones con búsquedas,% Δ,Búsquedas orgánicas,% Δ,Media de páginas por búsqueda,% Δ,Refinamientos de búsqueda,% Δ,% de refinamientos de búsqueda,% Δ,Tiempo después de búsqueda,% Δ,Salidas,% Δ,Porcentaje de salidas,% Δ,Tasa de conversión de los objetivos de búsquedas en el sitio,% Δ,Valor del objetivo por búsqueda,% Δ
20200804,/ceramica-italia/2206-tizzo-negro-30x60-rec,4,0,0,,0,,0,,0,,0,,0,,0,,null,,0,,3,0,0.75,0,null,,0,
20200804,/historial-compra,2,0,0,,0,,0,,0,,0,,0,,0,,null,,0,,2,0,1,0,null,,0,
20200804,/ceramica-italia/3145-parket-fresno-55x55-,2,0,0,,0,,0,,0,,0,,0,,0,,null,,0,,2,0,1,0,null,,0,
20200804,/ceramica-italia/2016-marmol-senesi-60x60-primera,9,0,0,,0,,0,,0,,1,0,0,,0,,null,,0,,3,0,0.3333333333333333,0,null,,0,
20200804,/ceramica-italia/2020-palmi-crema,1,0,0,,0,,0,,0,,0,,0,,0,,null,,0,,1,0,1,0,null,,0,
20200804,/promociones/,126,0,0,,0,,0,,0,,0,,0,,0,,null,,0,,18,0,0.16363636363636364,0,null,,0,
20200804,/ceramica-italia/2228-sanitario-punta-sal,2,0,0,,0,,0,,0,,0,,0,,0,,null,,0,,1,0,1,0,null,,0,
20200804,/ceramica-italia/3070-asiento-bari-mj-blanco,2,0,0,,0,,0,,0,,0,,0,,0,,null,,0,,1,0,1,0,null,,0,
20200804,/ceramica-italia/2006-macerata-marfil-45x901,1,0,0,,0,,0,,0,,1,0,0,,0,,null,,0,,1,0,1,0,null,,0,
20200804,/ceramica-italia/2018-diamante-perlado-60x60-primera,70,0,0,,0,,0,,0,,5,0,0,,0,,null,,0,,8,0,0.14545454545454545,0,null,,0,
20200804,/paredes-cocina,31,0,0,,0,,0,,0,,0,,0,,0,,null,,0,,8,0,0.25806451612903225,0,null,,0,
20200804,/ceramica-italia/1944-delicatezza-acento,2,0,0,,0,,0,,0,,0,,0,,0,,null,,0,,2,0,1,0,null,,0,
20200804,/ceramica-italia/3102-tizzo-negro-rect-60x60,5,0,0,,0,,0,,0,,0,,0,,0,,null,,0,,2,0,0.4,0,null,,0,
20200804,/ceramica-italia/2261-sanitario-granada-blanco,11,0,0,,0,,0,,0,,2,0,0,,0,,null,,0,,3,0,0.5,0,null,,0,
20200804,/ceramica-italia/2989-retro-western-55x55,1,0,0,,0,,0,,0,,0,,0,,0,,null,,0,,1,0,1,0,null,,0,
20200804,/buscar?controller=search&orderby=position&orderway=desc&search_query=Macetera&submit_search=,3,0,0,,0,,0,,0,,0,,0,,0,,null,,0,,1,0,0.3333333333333333,0,null,,0,
20200804,/ceramica-italia/1990-macerata-wengue,30,0,0,,0,,0,,0,,3,0,0,,0,,null,,0,,17,0,0.5666666666666667,0,null,,0,
20200804,/buscar?controller=search&orderby=position&orderway=desc&search_query=castilla&submit_search=,2,0,0,,0,,0,,0,,0,,0,,0,,null,,0,,1,0,0.5,0,null,,0,
20200804,/ceramica-italia/3013-castilla-beige-55x55-,23,0,0,,0,,0,,0,,1,0,0,,0,,null,,0,,5,0,0.21739130434782608,0,null,,0,
20200804,/gestion/,2,0,0,,0,,0,,0,,0,,0,,0,,null,,0,,2,0,1,0,null,,0,
20200804,/ceramica-italia/1948-diamante-hortensia-60x60?search_query=Pisos+porcelanato&results=29,3,0,0,,0,,0,,0,,0,,0,,0,,null,,0,,1,0,0.3333333333333333,0,null,,0,
20200804,/web1/Cocinas.php,4,0,0,,0,,0,,0,,0,,0,,0,,null,,0,,1,0,0.25,0,null,,0,
20200804,/nueva-coleccion-cocinas,32,0,0,,0,,0,,0,,3,0,0,,0,,null,,0,,3,0,0.09375,0,null,,0,
20200804,/buscar?controller=search&orderby=position&orderway=desc&search_query=ONE PIECE BUZIOS BLANCO&submit_search=,20,0,0,,0,,0,,0,,1,0,0,,0,,null,,0,,1,0,0.0625,0,null,,0,
20200804,/ceramica-italia/2771-pisa-blanco-satin,1,0,0,,0,,0,,0,,0,,0,,0,,null,,0,,1,0,1,0,null,,0,
20200804,/ceramica-italia/2103-sarezzo-beige?search_query=45x90&results=5,17,0,0,,0,,0,,0,,0,,0,,0,,null,,0,,2,0,0.2222222222222222,0,null,,0,
20200804,/ceramica-italia/2099-torazo-gris,12,0,0,,0,,0,,0,,0,,0,,0,,null,,0,,6,0,0.5,0,null,,0,
20200804,/seller/materiales-colombia-sas-valledupar-21,6,0,0,,0,,0,,0,,1,0,0,,0,,null,,0,,1,0,0.16666666666666666,0,null,,0,
20200804,/buscar?controller=search&orderby=position&orderway=desc&search_query=ceramicas+para+la+sala+&submit_search=&p=2,3,0,0,,0,,0,,0,,0,,0,,0,,null,,0,,1,0,0.3333333333333333,0,null,,0,
20200804,/disenos-exclusivos,58,0,0,,0,,0,,0,,0,,0,,0,,null,,0,,2,0,0.034482758620689655,0,null,,0,
20200804,/blackf/index.php?render_type=sellerview&id_seller=13&fc=module&module=kbmarketplace&controller=sellerfront,4,0,0,,0,,0,,0,,0,,0,,0,,null,,0,,1,0,0.25,0,null,,0,
20200804,/ceramica-italia/3164-antar-crema-brillante-25x75,4,0,0,,0,,0,,0,,1,0,0,,0,,null,,0,,2,0,0.5,0,null,,0,
20200804,/buscar?controller=search&orderby=position&orderway=desc&search_query=DAKAR&submit_search=,1,0,0,,0,,0,,0,,0,,0,,0,,null,,0,,1,0,1,0,null,,0,
20200804,/buscar?controller=search&orderby=position&orderway=desc&search_query=Ceramica&submit_search=,1,0,0,,0,,0,,0,,0,,0,,0,,null,,0,,1,0,1,0,null,,0,
20200804,/ceramica-italia/1932-zable-blanco,1,0,0,,0,,0,,0,,0,,0,,0,,null,,0,,1,0,1,0,null,,0,
20200804,/buscar?controller=search&orderby=position&orderway=desc&search_query=exterior+medellin&submit_search=,1,0,0,,0,,0,,0,,0,,0,,0,,null,,0,,1,0,1,0,null,,0,
20200804,/market-place/3604-burano-blanco-30x60,1,0,0,,0,,0,,0,,1,0,0,,0,,null,,0,,1,0,1,0,null,,0,
20200804,/buscar?controller=search&orderby=position&orderway=desc&search_query=monserrate&submit_search=,11,0,0,,0,,0,,0,,0,,0,,0,,null,,0,,3,0,0.3,0,null,,0,
20200804,/ceramica-italia/2953-alpe-nieve-25x75,11,0,0,,0,,0,,0,,0,,0,,0,,null,,0,,2,0,0.18181818181818182,0,null,,0,
20200804,/ceramica-italia/3148-parket-ceiba-55x55,7,0,0,,0,,0,,0,,1,0,0,,0,,null,,0,,7,0,1,0,null,,0,
20200804,/ceramica-italia/2247-lavamanos-napoles-mj-blanco,4,0,0,,0,,0,,0,,0,,0,,0,,null,,0,,2,0,1,0,null,,0,
20200804,/buscar?controller=search&orderby=position&orderway=desc&search_query=30x60&submit_search=,1,0,0,,0,,0,,0,,0,,0,,0,,null,,0,,1,0,1,0,null,,0,
20200804,/ceramica-italia/2120-monserrate-beige,11,0,0,,0,,0,,0,,0,,0,,0,,null,,0,,1,0,0.09090909090909091,0,null,,0,
20200804,/buscar?controller=search&orderby=position&orderway=desc&search_query=sarezzo&submit_search=,9,0,0,,0,,0,,0,,0,,0,,0,,null,,0,,1,0,0.1111111111111111,0,null,,0,
20200804,/buscar?controller=search&orderby=position&orderway=desc&search_query=adria+b&submit_search=,1,0,0,,0,,0,,0,,0,,0,,0,,null,,0,,1,0,1,0,null,,0,
20200804,/ceramica-italia/3144-adria-gris-55x55,1,0,0,,0,,0,,0,,0,,0,,0,,null,,0,,1,0,1,0,null,,0,
20200804,/ceramica-italia/2025-casano-wengue,1,0,0,,0,,0,,0,,0,,0,,0,,null,,0,,1,0,1,0,null,,0,
20200804,/web1/diarojo.php,7,0,0,,0,,0,,0,,0,,0,,0,,null,,0,,2,0,0.2857142857142857,0,null,,0,
20200804,/ceramica-italia/1897-spada-crema,3,0,0,,0,,0,,0,,0,,0,,0,,null,,0,,3,0,1,0,null,,0,
20200804,/pisos-banos,71,0,0,,0,,0,,0,,0,,0,,0,,null,,0,,14,0,0.19718309859154928,0,null,,0,
20200804,/lavamanos,16,0,0,,0,,0,,0,,0,,0,,0,,null,,0,,9,0,0.5625,0,null,,0,
20200804,/buscar?controller=search&orderby=position&orderway=desc&search_query=FENICE&submit_search=,1,0,0,,0,,0,,0,,0,,0,,0,,null,,0,,1,0,1,0,null,,0,
20200804,/corporativo/legal.php,16,0,0,,0,,0,,0,,1,0,0,,0,,null,,0,,3,0,0.1875,0,null,,0,
20200804,/ceramica-italia/3126-broni-menta-28x45,3,0,0,,0,,0,,0,,0,,0,,0,,null,,0,,2,0,0.6666666666666666,0,null,,0,
20200804,/buscar?controller=search&orderby=position&orderway=desc&search_query=EXTERIOR SAN GIL&submit_search=,1,0,0,,0,,0,,0,,1,0,0,,0,,null,,0,,1,0,1,0,null,,0,
20200804,/ceramica-italia/2216-casano-almendra-cortado-22x89,3,0,0,,0,,0,,0,,0,,0,,0,,null,,0,,1,0,0.3333333333333333,0,null,,0,
20200804,/ceramica-italia/2834-macerata-wengue-45x901,10,0,0,,0,,0,,0,,0,,0,,0,,null,,0,,7,0,0.7,0,null,,0,
20200804,/market-place/3073-varilla-1-2-pulgada,1,0,0,,0,,0,,0,,0,,0,,0,,null,,0,,1,0,1,0,null,,0,
20200804,/ceramica-italia/3101-retro-metal-55x55,2,0,0,,0,,0,,0,,0,,0,,0,,null,,0,,2,0,1,0,null,,0,
20200804,/ceramica-italia/2129-treccino-beige-25x75,4,0,0,,0,,0,,0,,0,,0,,0,,null,,0,,3,0,0.75,0,null,,0,
20200804,/buscar?controller=search&orderby=position&orderway=desc&search_query=&submit_search=,7,0,0,,0,,0,,0,,0,,0,,0,,null,,0,,5,0,0.7142857142857143,0,null,,0,
20200804,/pisos-exteriores,14,0,0,,0,,0,,0,,0,,0,,0,,null,,0,,9,0,0.6428571428571429,0,null,,0,
