Fecha,Tipo de usuario,Número de sesiones,Días desde la última sesión,Usuarios,% Δ,Usuarios nuevos,% Δ,Sesiones,% Δ,% de nuevas sesiones,% Δ
20200817,Returning Visitor,18,1,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200817,Returning Visitor,12,3,1,,0,,1,,0,
20200804,Returning Visitor,4,41,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200831,Returning Visitor,1185,0,1,,0,,1,,0,
20200825,Returning Visitor,2,105,1,,0,,1,,0,
20200831,Returning Visitor,224,0,1,,0,,1,,0,
20200823,Returning Visitor,6,12,1,,0,,1,,0,
20200804,Returning Visitor,307,0,1,,0,,1,,0,
20200826,Returning Visitor,6,16,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200818,Returning Visitor,188,0,1,,0,,1,,0,
20200831,Returning Visitor,18,26,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200810,Returning Visitor,3,83,1,,0,,1,,0,
20200813,Returning Visitor,110,0,1,,0,,1,,0,
20200831,Returning Visitor,15,6,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200831,Returning Visitor,6,7,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200816,Returning Visitor,14,4,1,,0,,1,,0,
20200813,Returning Visitor,3,152,1,,0,,1,,0,
20200806,Returning Visitor,337,0,1,,0,,1,,0,
20200819,Returning Visitor,5,28,1,,0,,1,,0,
20200819,Returning Visitor,4,13,1,,0,,1,,0,
20200807,Returning Visitor,13,1,1,,0,,1,,0,
20200805,Returning Visitor,719,1,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200810,Returning Visitor,2,50,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200819,Returning Visitor,2,64,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200828,Returning Visitor,36,4,1,,0,,1,,0,
20200821,Returning Visitor,243,0,1,,0,,1,,0,
20200817,Returning Visitor,3,102,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200824,Returning Visitor,15,3,1,,0,,1,,0,
20200810,Returning Visitor,2,91,1,,0,,1,,0,
20200822,Returning Visitor,99,1,1,,0,,1,,0,
20200829,Returning Visitor,8,104,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200827,Returning Visitor,249,0,1,,0,,1,,0,
20200828,Returning Visitor,13,8,1,,0,,1,,0,
20200822,Returning Visitor,4,12,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200814,Returning Visitor,26,19,1,,0,,1,,0,
20200826,Returning Visitor,10,5,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200804,Returning Visitor,7,15,1,,0,,1,,0,
20200819,Returning Visitor,3,7,1,,0,,1,,0,
20200808,Returning Visitor,4,11,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200807,Returning Visitor,3,32,1,,0,,1,,0,
20200822,Returning Visitor,2,28,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200822,Returning Visitor,3,46,1,,0,,1,,0,
20200823,Returning Visitor,2,140,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200831,Returning Visitor,2,37,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200831,Returning Visitor,58,1,1,,0,,1,,0,
20200831,Returning Visitor,19,11,1,,0,,1,,0,
20200822,Returning Visitor,8,11,1,,0,,1,,0,
20200820,Returning Visitor,7,18,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200821,Returning Visitor,5,10,1,,0,,1,,0,
20200830,Returning Visitor,4,99,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200831,Returning Visitor,9,5,1,,0,,1,,0,
20200820,Returning Visitor,2,96,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200825,Returning Visitor,2,108,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200816,Returning Visitor,213,2,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200805,Returning Visitor,3,31,1,,0,,1,,0,
20200823,Returning Visitor,3,38,1,,0,,1,,0,
20200817,Returning Visitor,38,0,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200815,Returning Visitor,25,0,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200813,Returning Visitor,300,0,1,,0,,1,,0,
20200813,Returning Visitor,4,12,1,,0,,1,,0,
20200830,Returning Visitor,4,165,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200819,Returning Visitor,14,29,1,,0,,1,,0,
20200821,Returning Visitor,17,9,1,,0,,1,,0,
20200825,Returning Visitor,5,19,1,,0,,1,,0,
20200817,Returning Visitor,3,14,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200806,Returning Visitor,7,152,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200830,Returning Visitor,10,1,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200822,Returning Visitor,382,0,1,,0,,1,,0,
20200804,Returning Visitor,3,47,1,,0,,1,,0,
20200818,Returning Visitor,22,3,1,,0,,1,,0,
20200810,Returning Visitor,224,3,1,,0,,1,,0,
20200825,Returning Visitor,142,0,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200827,Returning Visitor,65,5,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200815,Returning Visitor,9,42,1,,0,,1,,0,
20200826,Returning Visitor,4,21,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200824,Returning Visitor,201,2,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200827,Returning Visitor,6,91,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200827,Returning Visitor,138,1,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200820,Returning Visitor,218,0,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200808,Returning Visitor,98,0,1,,0,,1,,0,
20200806,Returning Visitor,2,82,1,,0,,1,,0,
20200806,Returning Visitor,105,0,1,,0,,1,,0,
20200825,Returning Visitor,199,0,1,,0,,1,,0,
20200819,Returning Visitor,570,2,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200813,Returning Visitor,293,0,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200814,Returning Visitor,20,3,1,,0,,1,,0,
20200829,Returning Visitor,2,122,1,,0,,1,,0,
20200831,Returning Visitor,292,6,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200821,Returning Visitor,3,45,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200815,Returning Visitor,95,1,1,,0,,1,,0,
20200823,Returning Visitor,3,43,1,,0,,1,,0,
20200805,Returning Visitor,2,17,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200823,Returning Visitor,2,95,1,,0,,1,,0,
20200831,Returning Visitor,347,0,1,,0,,1,,0,
20200827,Returning Visitor,34,2,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200808,Returning Visitor,12,4,1,,0,,1,,0,
20200816,Returning Visitor,2,61,1,,0,,1,,0,
20200818,Returning Visitor,20,7,1,,0,,1,,0,
20200806,Returning Visitor,3,145,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200829,Returning Visitor,60,3,1,,0,,1,,0,
20200811,Returning Visitor,2,96,1,,0,,1,,0,
