Fecha,Tipo de usuario,Edad,Sexo,Categoría de afinidad (cobertura),Segmento de mercado,Sesiones
20200824,New Visitor,55-64,female,Lifestyles & Hobbies/Family-Focused,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,54
20200824,New Visitor,55-64,female,Home & Garden/Home Decor Enthusiasts,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,53
20200825,New Visitor,55-64,female,Home & Garden/Home Decor Enthusiasts,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,51
20200825,New Visitor,55-64,female,Lifestyles & Hobbies/Family-Focused,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,51
20200825,New Visitor,55-64,female,Food & Dining/Cooking Enthusiasts/30 Minute Chefs,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,49
20200824,New Visitor,55-64,female,Food & Dining/Cooking Enthusiasts/30 Minute Chefs,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,48
20200825,New Visitor,55-64,female,Lifestyles & Hobbies/Green Living Enthusiasts,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,46
20200824,New Visitor,55-64,female,Lifestyles & Hobbies/Fashionistas,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,45
20200824,New Visitor,55-64,female,Shoppers/Value Shoppers,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,45
20200822,New Visitor,55-64,female,Lifestyles & Hobbies/Family-Focused,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,44
20200823,New Visitor,55-64,female,Lifestyles & Hobbies/Family-Focused,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,44
20200825,New Visitor,55-64,female,Beauty & Wellness/Beauty Mavens,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,43
20200823,New Visitor,55-64,female,Home & Garden/Home Decor Enthusiasts,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,43
20200825,New Visitor,55-64,female,Lifestyles & Hobbies/Fashionistas,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,43
20200824,New Visitor,55-64,female,Lifestyles & Hobbies/Family-Focused,Home & Garden/Home & Garden Services,43
20200822,New Visitor,55-64,female,Home & Garden/Home Decor Enthusiasts,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,43
20200830,New Visitor,55-64,female,Food & Dining/Cooking Enthusiasts/30 Minute Chefs,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,42
20200823,New Visitor,55-64,female,Food & Dining/Cooking Enthusiasts/30 Minute Chefs,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,42
20200830,New Visitor,55-64,female,Home & Garden/Home Decor Enthusiasts,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,42
20200824,New Visitor,55-64,female,Lifestyles & Hobbies/Green Living Enthusiasts,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,42
20200824,New Visitor,55-64,female,Shoppers/Shoppers by Store Type/Department Store Shoppers,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,41
20200824,New Visitor,55-64,female,Home & Garden/Home Decor Enthusiasts,Home & Garden/Home & Garden Services,41
20200822,New Visitor,55-64,female,Food & Dining/Cooking Enthusiasts/30 Minute Chefs,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,40
20200824,New Visitor,55-64,female,Beauty & Wellness/Frequently Visits Salons,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,40
20200824,New Visitor,55-64,female,Food & Dining/Cooking Enthusiasts/30 Minute Chefs,Home & Garden/Home & Garden Services,39
20200830,New Visitor,55-64,female,Lifestyles & Hobbies/Family-Focused,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,39
20200823,New Visitor,25-34,female,Lifestyles & Hobbies/Fashionistas,Apparel & Accessories/Women's Apparel,39
20200825,New Visitor,55-64,female,Shoppers/Value Shoppers,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,38
20200823,New Visitor,55-64,female,Lifestyles & Hobbies/Fashionistas,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,38
20200825,New Visitor,55-64,female,Shoppers/Shoppers by Store Type/Department Store Shoppers,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,38
20200824,New Visitor,25-34,female,Lifestyles & Hobbies/Family-Focused,Apparel & Accessories/Women's Apparel,37
20200823,New Visitor,25-34,female,Lifestyles & Hobbies/Family-Focused,Apparel & Accessories/Women's Apparel,37
20200828,New Visitor,55-64,female,Food & Dining/Cooking Enthusiasts/30 Minute Chefs,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,37
20200823,New Visitor,25-34,female,Beauty & Wellness/Beauty Mavens,Apparel & Accessories/Women's Apparel,37
20200824,New Visitor,55-64,female,Lifestyles & Hobbies/Fashionistas,Home & Garden/Home & Garden Services,37
20200824,New Visitor,55-64,female,Beauty & Wellness/Beauty Mavens,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,37
20200830,New Visitor,55-64,female,Lifestyles & Hobbies/Green Living Enthusiasts,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,36
20200824,New Visitor,55-64,female,Shoppers/Value Shoppers,Home & Garden/Home & Garden Services,36
20200828,New Visitor,55-64,female,Lifestyles & Hobbies/Family-Focused,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,35
20200823,New Visitor,25-34,female,Shoppers/Value Shoppers,Apparel & Accessories/Women's Apparel,35
20200822,New Visitor,55-64,female,Lifestyles & Hobbies/Fashionistas,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,35
20200825,New Visitor,55-64,female,Beauty & Wellness/Frequently Visits Salons,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,35
20200827,New Visitor,55-64,female,Lifestyles & Hobbies/Family-Focused,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,35
20200830,New Visitor,55-64,female,Shoppers/Value Shoppers,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,35
20200823,New Visitor,55-64,female,Beauty & Wellness/Beauty Mavens,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,35
20200828,New Visitor,55-64,female,Home & Garden/Home Decor Enthusiasts,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,35
20200829,New Visitor,25-34,female,Lifestyles & Hobbies/Fashionistas,Apparel & Accessories/Women's Apparel,35
20200829,New Visitor,25-34,female,Shoppers/Shoppers by Store Type/Department Store Shoppers,Apparel & Accessories/Women's Apparel,35
20200830,New Visitor,55-64,female,Beauty & Wellness/Beauty Mavens,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,35
20200828,New Visitor,55-64,female,Beauty & Wellness/Beauty Mavens,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,35
20200824,New Visitor,55-64,female,Home & Garden/Do-It-Yourselfers,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,35
20200823,New Visitor,25-34,female,Media & Entertainment/TV Lovers,Apparel & Accessories/Women's Apparel,34
20200825,New Visitor,35-44,female,Home & Garden/Home Decor Enthusiasts,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,34
20200823,New Visitor,55-64,female,Lifestyles & Hobbies/Green Living Enthusiasts,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,34
20200830,New Visitor,55-64,female,Lifestyles & Hobbies/Fashionistas,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,34
20200822,New Visitor,55-64,female,Beauty & Wellness/Beauty Mavens,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,34
20200824,New Visitor,55-64,female,Lifestyles & Hobbies/Family-Focused,Home & Garden/Home Decor,34
20200820,New Visitor,25-34,female,Lifestyles & Hobbies/Fashionistas,Apparel & Accessories/Women's Apparel,34
20200824,New Visitor,25-34,female,Lifestyles & Hobbies/Fashionistas,Apparel & Accessories/Women's Apparel,34
20200817,New Visitor,25-34,female,Lifestyles & Hobbies/Fashionistas,Apparel & Accessories/Women's Apparel,34
20200823,New Visitor,55-64,female,Lifestyles & Hobbies/Family-Focused,Home & Garden/Home Decor,34
20200828,New Visitor,55-64,female,Lifestyles & Hobbies/Fashionistas,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,34
20200822,New Visitor,55-64,female,Shoppers/Value Shoppers,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,33
20200829,New Visitor,25-34,female,Lifestyles & Hobbies/Fashionistas,Apparel & Accessories/Shoes,33
20200823,New Visitor,25-34,female,Shoppers/Shoppers by Store Type/Department Store Shoppers,Apparel & Accessories/Women's Apparel,33
20200830,New Visitor,55-64,female,Beauty & Wellness/Frequently Visits Salons,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,33
20200822,New Visitor,55-64,female,Lifestyles & Hobbies/Green Living Enthusiasts,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,33
20200822,New Visitor,55-64,female,Lifestyles & Hobbies/Family-Focused,Home & Garden/Home Decor,33
20200827,New Visitor,55-64,female,Lifestyles & Hobbies/Fashionistas,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,33
20200829,New Visitor,25-34,female,Lifestyles & Hobbies/Family-Focused,Apparel & Accessories/Women's Apparel,33
20200824,New Visitor,55-64,female,Media & Entertainment/TV Lovers,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,33
20200829,New Visitor,25-34,female,Beauty & Wellness/Beauty Mavens,Apparel & Accessories/Women's Apparel,33
20200825,New Visitor,55-64,female,Media & Entertainment/Movie Lovers,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,33
20200827,New Visitor,55-64,female,Home & Garden/Home Decor Enthusiasts,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,33
20200824,New Visitor,55-64,female,Home & Garden/Home Decor Enthusiasts,Home & Garden/Home Decor,32
20200827,New Visitor,55-64,female,Food & Dining/Cooking Enthusiasts/30 Minute Chefs,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,32
20200820,New Visitor,25-34,female,Beauty & Wellness/Beauty Mavens,Apparel & Accessories/Women's Apparel,32
20200824,New Visitor,55-64,female,Lifestyles & Hobbies/Green Living Enthusiasts,Home & Garden/Home & Garden Services,32
20200826,New Visitor,55-64,female,Home & Garden/Home Decor Enthusiasts,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,32
20200822,New Visitor,55-64,female,Home & Garden/Home Decor Enthusiasts,Home & Garden/Home Decor,32
20200824,New Visitor,55-64,female,Media & Entertainment/Movie Lovers,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,32
20200820,New Visitor,25-34,female,Lifestyles & Hobbies/Family-Focused,Apparel & Accessories/Women's Apparel,32
20200820,New Visitor,25-34,female,Shoppers/Shoppers by Store Type/Department Store Shoppers,Apparel & Accessories/Women's Apparel,32
20200823,New Visitor,55-64,female,Shoppers/Shoppers by Store Type/Department Store Shoppers,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,32
20200823,New Visitor,55-64,female,Beauty & Wellness/Frequently Visits Salons,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,31
20200830,New Visitor,55-64,female,Shoppers/Shoppers by Store Type/Department Store Shoppers,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,31
20200823,New Visitor,55-64,female,Media & Entertainment/Movie Lovers,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,31
20200817,New Visitor,25-34,female,Lifestyles & Hobbies/Family-Focused,Apparel & Accessories/Women's Apparel,31
20200829,New Visitor,25-34,female,Beauty & Wellness/Beauty Mavens,Apparel & Accessories/Shoes,31
20200817,New Visitor,25-34,female,Beauty & Wellness/Beauty Mavens,Apparel & Accessories/Women's Apparel,31
20200826,New Visitor,55-64,female,Lifestyles & Hobbies/Family-Focused,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,31
20200823,New Visitor,55-64,female,Lifestyles & Hobbies/Family-Focused,Home & Garden/Home & Garden Services,31
20200823,New Visitor,55-64,female,Food & Dining/Cooking Enthusiasts/30 Minute Chefs,Home & Garden/Home Decor,31
20200831,New Visitor,55-64,female,Home & Garden/Home Decor Enthusiasts,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,31
20200824,New Visitor,55-64,female,Home & Garden/Do-It-Yourselfers,Home & Garden/Home & Garden Services,31
20200822,New Visitor,55-64,female,Beauty & Wellness/Frequently Visits Salons,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,31
20200824,New Visitor,55-64,female,Beauty & Wellness/Beauty Mavens,Home & Garden/Home & Garden Services,31
20200824,New Visitor,55-64,female,Shoppers/Shoppers by Store Type/Department Store Shoppers,Home & Garden/Home & Garden Services,31
20200823,New Visitor,55-64,female,Home & Garden/Home Decor Enthusiasts,Home & Garden/Home Decor,31
20200827,New Visitor,55-64,female,Beauty & Wellness/Beauty Mavens,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,31
20200824,New Visitor,25-34,female,Beauty & Wellness/Beauty Mavens,Apparel & Accessories/Women's Apparel,31
20200825,New Visitor,45-54,female,Lifestyles & Hobbies/Family-Focused,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,31
20200830,New Visitor,55-64,female,Food & Dining/Cooking Enthusiasts/30 Minute Chefs,Home & Garden/Home Decor,31
20200817,New Visitor,25-34,female,Shoppers/Shoppers by Store Type/Department Store Shoppers,Apparel & Accessories/Women's Apparel,30
20200825,New Visitor,35-44,female,Lifestyles & Hobbies/Family-Focused,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,30
20200824,New Visitor,55-64,female,News & Politics/Avid News Readers,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,30
20200814,New Visitor,25-34,female,Beauty & Wellness/Beauty Mavens,Apparel & Accessories/Women's Apparel,30
20200825,New Visitor,35-44,female,Lifestyles & Hobbies/Fashionistas,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,30
20200822,New Visitor,25-34,female,Lifestyles & Hobbies/Fashionistas,Apparel & Accessories/Women's Apparel,30
20200829,New Visitor,25-34,female,Lifestyles & Hobbies/Family-Focused,Apparel & Accessories/Shoes,30
20200824,New Visitor,55-64,female,Travel/Travel Buffs,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,30
20200820,New Visitor,25-34,female,Shoppers/Value Shoppers,Apparel & Accessories/Women's Apparel,30
20200823,New Visitor,55-64,female,Home & Garden/Home Decor Enthusiasts,Home & Garden/Home & Garden Services,30
20200831,New Visitor,55-64,female,Lifestyles & Hobbies/Family-Focused,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,30
20200823,New Visitor,55-64,female,Shoppers/Value Shoppers,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,30
20200829,New Visitor,25-34,female,Shoppers/Shoppers by Store Type/Department Store Shoppers,Apparel & Accessories/Shoes,30
20200828,New Visitor,55-64,female,Shoppers/Shoppers by Store Type/Department Store Shoppers,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,30
20200824,New Visitor,55-64,female,Food & Dining/Cooking Enthusiasts/30 Minute Chefs,Home & Garden/Home Decor,30
20200814,New Visitor,25-34,female,Lifestyles & Hobbies/Fashionistas,Apparel & Accessories/Women's Apparel,30
20200824,New Visitor,25-34,female,Shoppers/Value Shoppers,Apparel & Accessories/Women's Apparel,30
20200831,New Visitor,55-64,female,Lifestyles & Hobbies/Green Living Enthusiasts,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,30
20200825,New Visitor,45-54,female,Home & Garden/Home Decor Enthusiasts,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,29
20200823,New Visitor,25-34,female,Shoppers/Shopaholics,Apparel & Accessories/Women's Apparel,29
20200823,New Visitor,55-64,female,Food & Dining/Cooking Enthusiasts/30 Minute Chefs,Home & Garden/Home & Garden Services,29
20200829,New Visitor,55-64,female,Lifestyles & Hobbies/Green Living Enthusiasts,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,29
20200814,New Visitor,25-34,female,Lifestyles & Hobbies/Fashionistas,Apparel & Accessories/Shoes,29
20200829,New Visitor,55-64,female,Home & Garden/Home Decor Enthusiasts,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,29
20200823,New Visitor,25-34,female,Home & Garden/Home Decor Enthusiasts,Apparel & Accessories/Women's Apparel,29
20200823,New Visitor,25-34,female,Lifestyles & Hobbies/Fashionistas,Apparel & Accessories/Shoes,29
20200823,New Visitor,25-34,female,Shoppers/Bargain Hunters,Apparel & Accessories/Women's Apparel,29
20200817,New Visitor,25-34,female,Media & Entertainment/TV Lovers,Apparel & Accessories/Women's Apparel,29
20200828,New Visitor,55-64,female,Beauty & Wellness/Frequently Visits Salons,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,29
20200825,New Visitor,55-64,female,Food & Dining/Cooking Enthusiasts/30 Minute Chefs,Home & Garden/Home & Garden Services,29
20200831,New Visitor,55-64,female,Food & Dining/Cooking Enthusiasts/30 Minute Chefs,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,29
20200820,New Visitor,55-64,female,Food & Dining/Cooking Enthusiasts/30 Minute Chefs,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,29
20200825,New Visitor,55-64,female,Home & Garden/Home Decor Enthusiasts,Home & Garden/Home & Garden Services,29
20200827,New Visitor,55-64,female,Shoppers/Shoppers by Store Type/Department Store Shoppers,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,29
20200822,New Visitor,25-34,female,Beauty & Wellness/Beauty Mavens,Apparel & Accessories/Women's Apparel,29
20200829,New Visitor,25-34,female,Shoppers/Shopaholics,Apparel & Accessories/Women's Apparel,29
20200824,New Visitor,25-34,female,Shoppers/Shoppers by Store Type/Department Store Shoppers,Apparel & Accessories/Women's Apparel,29
20200825,New Visitor,55-64,female,Lifestyles & Hobbies/Family-Focused,Home & Garden/Home & Garden Services,29
20200825,New Visitor,55-64,female,Food & Dining/Coffee Shop Regulars,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,29
20200822,New Visitor,55-64,female,Media & Entertainment/Movie Lovers,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,29
20200823,New Visitor,25-34,female,Food & Dining/Foodies,Apparel & Accessories/Women's Apparel,28
20200829,New Visitor,25-34,female,Media & Entertainment/TV Lovers,Apparel & Accessories/Women's Apparel,28
20200825,New Visitor,45-54,female,Beauty & Wellness/Beauty Mavens,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,28
20200829,New Visitor,55-64,female,Lifestyles & Hobbies/Family-Focused,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,28
20200830,New Visitor,55-64,female,Home & Garden/Do-It-Yourselfers,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,28
20200827,New Visitor,55-64,female,Shoppers/Value Shoppers,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,28
20200824,New Visitor,25-34,female,Media & Entertainment/TV Lovers,Apparel & Accessories/Women's Apparel,28
20200814,New Visitor,25-34,female,Beauty & Wellness/Beauty Mavens,Apparel & Accessories/Shoes,28
20200831,New Visitor,55-64,female,Lifestyles & Hobbies/Fashionistas,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,28
20200831,New Visitor,55-64,female,Beauty & Wellness/Beauty Mavens,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,28
20200828,New Visitor,25-34,female,Lifestyles & Hobbies/Fashionistas,Apparel & Accessories/Women's Apparel,28
20200824,New Visitor,55-64,female,Food & Dining/Coffee Shop Regulars,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,28
20200820,New Visitor,25-34,female,Lifestyles & Hobbies/Fashionistas,Apparel & Accessories/Shoes,28
20200825,New Visitor,35-44,female,Food & Dining/Cooking Enthusiasts/30 Minute Chefs,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,28
20200829,New Visitor,25-34,female,Shoppers/Value Shoppers,Apparel & Accessories/Women's Apparel,28
20200821,New Visitor,25-34,female,Lifestyles & Hobbies/Fashionistas,Apparel & Accessories/Women's Apparel,28
20200825,New Visitor,25-34,female,Lifestyles & Hobbies/Fashionistas,Apparel & Accessories/Women's Apparel,28
20200823,New Visitor,25-34,female,Beauty & Wellness/Beauty Mavens,Apparel & Accessories/Shoes,28
20200825,New Visitor,55-64,female,Beauty & Wellness/Beauty Mavens,Home & Garden/Home & Garden Services/Architectural Services,28
20200820,New Visitor,25-34,female,Shoppers/Shoppers by Store Type/Department Store Shoppers,Apparel & Accessories/Shoes,28
20200826,New Visitor,55-64,female,Lifestyles & Hobbies/Green Living Enthusiasts,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,28
20200825,New Visitor,55-64,female,Home & Garden/Home Decor Enthusiasts,Home & Garden/Home & Garden Services/Architectural Services,28
20200828,New Visitor,55-64,female,Shoppers/Value Shoppers,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,28
20200825,New Visitor,35-44,female,Lifestyles & Hobbies/Green Living Enthusiasts,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,28
20200814,New Visitor,25-34,female,Shoppers/Shopaholics,Apparel & Accessories/Women's Apparel,28
20200820,New Visitor,55-64,female,Home & Garden/Home Decor Enthusiasts,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,28
20200823,New Visitor,55-64,female,Lifestyles & Hobbies/Fashionistas,Home & Garden/Home & Garden Services,28
20200824,New Visitor,55-64,female,Lifestyles & Hobbies/Family-Focused,Home & Garden/Home Furnishings,28
20200825,New Visitor,55-64,female,Lifestyles & Hobbies/Family-Focused,Home & Garden/Home & Garden Services/Architectural Services,28
20200826,New Visitor,55-64,female,Lifestyles & Hobbies/Fashionistas,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,28
20200825,New Visitor,55-64,female,Home & Garden/Do-It-Yourselfers,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,28
20200826,New Visitor,55-64,female,Food & Dining/Cooking Enthusiasts/30 Minute Chefs,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,27
20200830,New Visitor,55-64,female,Home & Garden/Home Decor Enthusiasts,Home & Garden/Home Decor,27
20200822,New Visitor,55-64,female,Beauty & Wellness/Beauty Mavens,Home & Garden/Home Decor,27
20200817,New Visitor,25-34,female,Shoppers/Value Shoppers,Apparel & Accessories/Women's Apparel,27
20200824,New Visitor,55-64,female,Lifestyles & Hobbies/Fashionistas,Home & Garden/Home & Garden Services/Architectural Services,27
20200820,New Visitor,25-34,female,Home & Garden/Home Decor Enthusiasts,Apparel & Accessories/Women's Apparel,27
20200829,New Visitor,45-54,female,Food & Dining/Cooking Enthusiasts/30 Minute Chefs,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,27
20200825,New Visitor,55-64,female,Lifestyles & Hobbies/Fashionistas,Home & Garden/Home & Garden Services/Architectural Services,27
20200814,New Visitor,25-34,female,Lifestyles & Hobbies/Fashionistas,Apparel & Accessories/Men's Apparel,27
20200822,New Visitor,55-64,female,Lifestyles & Hobbies/Fashionistas,Home & Garden/Home Decor,27
20200825,New Visitor,35-44,female,Beauty & Wellness/Beauty Mavens,Home & Garden/Home & Garden Services/Interior Design & Decorating Services,27
20200821,New Visitor,25-34,female,Beauty & Wellness/Beauty Mavens,Apparel & Accessories/Women's Apparel,27
20200822,New Visitor,25-34,female,Lifestyles & Hobbies/Family-Focused,Apparel & Accessories/Women's Apparel,27
20200830,New Visitor,55-64,female,Lifestyles & Hobbies/Family-Focused,Home & Garden/Home Decor,27
